Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Pct,Mobility Cnt,Entrants Pct,Entrants Cnt,Withdrawals Pct,Withdrawals Cnt,Avg Daily Member Cnt,Create Date
2010,01,Allegany,0301,Flintstone Elementary,Elementary,17.2,36,9.1,19,8.1,17,209.9,20111104
2010,01,Allegany,0401,South Penn Elementary,Elementary,14.5,64,6.8,30,7.7,34,440.3,20111104
2010,01,Allegany,0402,John Humbird Elementary,Elementary,31.8,94,15.9,47,15.9,47,295.2,20111104
2010,01,Allegany,0405,Fort Hill High,High,27.5,254,12.2,113,15.2,141,924.9,20111104
2010,01,Allegany,0406,Washington Middle,Middle,17.5,113,7.6,49,9.9,64,644.6,20111104
2010,01,Allegany,0502,Northeast Elementary,Elementary,18.3,57,8.3,26,9.9,31,312.2,20111104
2010,01,Allegany,0504,Braddock Middle,Middle,18.4,114,9.0,56,9.3,58,620.9,20111104
2010,01,Allegany,0602,Allegany County Evening High School,High,*,*,*,*,*,*,*,20111104
2010,01,Allegany,0603,West Side Elementary,Elementary,23.7,66,12.2,34,11.5,32,279.1,20111104
2010,01,Allegany,0606,Allegany High,High,27.3,233,12.7,108,14.6,125,853.7,20111104
2010,01,Allegany,0701,Cresaptown Elementary,Elementary,11.8,39,7.9,26,<= 5.0,*,329.5,20111104
2010,01,Allegany,0702,Bel Air Elementary,Elementary,13.8,28,6.4,13,7.4,15,203.4,20111104
2010,01,Allegany,0801,Westernport Elementary,Elementary,21.8,51,12.4,29,9.4,22,233.9,20111104
2010,01,Allegany,0802,Westmar Middle,Middle,7.8,24,<= 5.0,*,<= 5.0,*,307.1,20111104
2010,01,Allegany,1001,George's Creek Elementary,Elementary,11.7,36,<= 5.0,*,7.8,24,306.9,20111104
2010,01,Allegany,1101,Frost Elementary,Elementary,10.3,25,5.7,14,<= 5.0,*,243.7,20111104
2010,01,Allegany,1301,Mount Savage Middle,Middle,6.5,28,<= 5.0,*,<= 5.0,*,433.5,20111104
2010,01,Allegany,1302,Mt. Savage Elementary,Elementary,12.5,29,7.3,17,5.2,12,231.6,20111104
2010,01,Allegany,2404,Mountain Ridge High School,High,17.4,167,8.2,79,9.2,88,958.0,20111104
2010,01,Allegany,2801,Beall Elementary,Elementary,13.4,40,6.0,18,7.3,22,299.5,20111104
2010,01,Allegany,2901,Cash Valley Elementary,Elementary,15.2,39,6.2,16,9.0,23,256.6,20111104
2010,01,Allegany,2902,Parkside Elementary,Elementary,19.3,48,11.7,29,7.7,19,248.3,20111104
2010,01,Allegany,5556,Transition Program At Cumberland,High,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20111104
2010,01,Allegany,5557,Transition Program At Friends Aware,High,*,*,*,*,*,*,*,20111104
2010,01,Allegany,A,All Allegany Schools,Elementary,17.2,670,8.8,343,8.4,327,3893.8,20111104
2010,01,Allegany,A,All Allegany Schools,Middle,14.5,291,7.0,140,7.5,151,2009.9,20111104
2010,01,Allegany,A,All Allegany Schools,High,25.1,694,11.9,329,13.2,365,2766.1,20111104
2010,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,26.4,116,15.0,66,11.4,50,438.6,20111104
2010,02,Anne Arundel,1033,Glen Burnie High,High,21.2,411,10.5,203,10.7,208,1941.8,20111104
2010,02,Anne Arundel,1043,Corkran Middle,Middle,17.8,113,10.9,69,6.9,44,635.1,20111104
2010,02,Anne Arundel,1053,Lindale Middle,Middle,21.4,176,11.3,93,10.1,83,824.0,20111104
2010,02,Anne Arundel,1063,Marley Middle,Middle,21.4,167,12.0,94,9.3,73,781.4,20111104
2010,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,40.8,69,21.3,36,19.5,33,169.2,20111104
2010,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,21.0,79,12.0,45,9.1,34,375.5,20111104
2010,02,Anne Arundel,1112,George T. Cromwell Elementary,Elementary,17.6,43,9.4,23,8.2,20,244.8,20111104
2010,02,Anne Arundel,1122,Freetown Elementary,Elementary,17.6,71,9.9,40,7.7,31,404.0,20111104
2010,02,Anne Arundel,1132,Glendale Elementary,Elementary,22.9,92,12.7,51,10.2,41,401.2,20111104
2010,02,Anne Arundel,1142,Hilltop Elementary,Elementary,26.8,141,15.2,80,11.6,61,526.7,20111104
