Year,LEA,LEA Name,School,School Name,Grade,Enrolled Count,Create Date
2023,01,Allegany,0301,Flintstone Elementary,Prekindergarten Age 4,19,20230214
2023,01,Allegany,0301,Flintstone Elementary,Kindergarten,42,20230214
2023,01,Allegany,0301,Flintstone Elementary,Grade 1,33,20230214
2023,01,Allegany,0301,Flintstone Elementary,Grade 2,29,20230214
2023,01,Allegany,0301,Flintstone Elementary,Grade 3,26,20230214
2023,01,Allegany,0301,Flintstone Elementary,Grade 4,31,20230214
2023,01,Allegany,0301,Flintstone Elementary,Grade 5,36,20230214
2023,01,Allegany,0301,Flintstone Elementary,All Grades,216,20230214
2023,01,Allegany,0401,South Penn Elementary,Prekindergarten Age 4,77,20230214
2023,01,Allegany,0401,South Penn Elementary,Kindergarten,79,20230214
2023,01,Allegany,0401,South Penn Elementary,Grade 1,62,20230214
2023,01,Allegany,0401,South Penn Elementary,Grade 2,73,20230214
2023,01,Allegany,0401,South Penn Elementary,Grade 3,63,20230214
2023,01,Allegany,0401,South Penn Elementary,Grade 4,87,20230214
2023,01,Allegany,0401,South Penn Elementary,Grade 5,82,20230214
2023,01,Allegany,0401,South Penn Elementary,All Grades,523,20230214
2023,01,Allegany,0402,John Humbird Elementary,Prekindergarten Age 4,31,20230214
2023,01,Allegany,0402,John Humbird Elementary,Kindergarten,39,20230214
2023,01,Allegany,0402,John Humbird Elementary,Grade 1,28,20230214
2023,01,Allegany,0402,John Humbird Elementary,Grade 2,35,20230214
2023,01,Allegany,0402,John Humbird Elementary,Grade 3,34,20230214
2023,01,Allegany,0402,John Humbird Elementary,Grade 4,33,20230214
2023,01,Allegany,0402,John Humbird Elementary,Grade 5,34,20230214
2023,01,Allegany,0402,John Humbird Elementary,All Grades,234,20230214
2023,01,Allegany,0405,Fort Hill High,Grade 9,202,20230214
2023,01,Allegany,0405,Fort Hill High,Grade 10,207,20230214
2023,01,Allegany,0405,Fort Hill High,Grade 11,140,20230214
2023,01,Allegany,0405,Fort Hill High,Grade 12,143,20230214
2023,01,Allegany,0405,Fort Hill High,All Grades,692,20230214
2023,01,Allegany,0406,Washington Middle,Grade 6,187,20230214
2023,01,Allegany,0406,Washington Middle,Grade 7,204,20230214
2023,01,Allegany,0406,Washington Middle,Grade 8,192,20230214
2023,01,Allegany,0406,Washington Middle,All Grades,583,20230214
2023,01,Allegany,0502,Northeast Elementary,Prekindergarten Age 4,24,20230214
2023,01,Allegany,0502,Northeast Elementary,Kindergarten,39,20230214
2023,01,Allegany,0502,Northeast Elementary,Grade 1,48,20230214
2023,01,Allegany,0502,Northeast Elementary,Grade 2,38,20230214
2023,01,Allegany,0502,Northeast Elementary,Grade 3,41,20230214
2023,01,Allegany,0502,Northeast Elementary,Grade 4,43,20230214
2023,01,Allegany,0502,Northeast Elementary,Grade 5,39,20230214
2023,01,Allegany,0502,Northeast Elementary,All Grades,272,20230214
2023,01,Allegany,0504,Braddock Middle,Grade 6,208,20230214
2023,01,Allegany,0504,Braddock Middle,Grade 7,197,20230214
2023,01,Allegany,0504,Braddock Middle,Grade 8,198,20230214
2023,01,Allegany,0504,Braddock Middle,All Grades,603,20230214
2023,01,Allegany,0601,Center for Career & Technical Education,Grade 11,156,20230214
2023,01,Allegany,0601,Center for Career & Technical Education,Grade 12,133,20230214
2023,01,Allegany,0601,Center for Career & Technical Education,All Grades,289,20230214
2023,01,Allegany,0603,West Side Elementary,Prekindergarten Age 4,25,20230214
2023,01,Allegany,0603,West Side Elementary,Kindergarten,46,20230214
2023,01,Allegany,0603,West Side Elementary,Grade 1,31,20230214
2023,01,Allegany,0603,West Side Elementary,Grade 2,47,20230214
2023,01,Allegany,0603,West Side Elementary,Grade 3,50,20230214
2023,01,Allegany,0603,West Side Elementary,Grade 4,52,20230214
2023,01,Allegany,0603,West Side Elementary,Grade 5,54,20230214
2023,01,Allegany,0603,West Side Elementary,All Grades,305,20230214
2023,01,Allegany,0606,Allegany High,Grade 9,212,20230214
2023,01,Allegany,0606,Allegany High,Grade 10,191,20230214
2023,01,Allegany,0606,Allegany High,Grade 11,153,20230214
2023,01,Allegany,0606,Allegany High,Grade 12,128,20230214
2023,01,Allegany,0606,Allegany High,All Grades,684,20230214
2023,01,Allegany,0701,Cresaptown Elementary,Prekindergarten Age 4,20,20230214
2023,01,Allegany,0701,Cresaptown Elementary,Kindergarten,34,20230214
2023,01,Allegany,0701,Cresaptown Elementary,Grade 1,45,20230214
2023,01,Allegany,0701,Cresaptown Elementary,Grade 2,32,20230214
2023,01,Allegany,0701,Cresaptown Elementary,Grade 3,46,20230214
2023,01,Allegany,0701,Cresaptown Elementary,Grade 4,43,20230214
2023,01,Allegany,0701,Cresaptown Elementary,Grade 5,47,20230214
2023,01,Allegany,0701,Cresaptown Elementary,All Grades,267,20230214
2023,01,Allegany,0702,Bel Air Elementary,Prekindergarten Age 4,15,20230214
2023,01,Allegany,0702,Bel Air Elementary,Kindergarten,22,20230214
2023,01,Allegany,0702,Bel Air Elementary,Grade 1,35,20230214
2023,01,Allegany,0702,Bel Air Elementary,Grade 2,35,20230214
2023,01,Allegany,0702,Bel Air Elementary,Grade 3,27,20230214
2023,01,Allegany,0702,Bel Air Elementary,Grade 4,38,20230214
2023,01,Allegany,0702,Bel Air Elementary,Grade 5,27,20230214
2023,01,Allegany,0702,Bel Air Elementary,All Grades,199,20230214
2023,01,Allegany,0801,Westernport Elementary,Prekindergarten Age 4,21,20230214
2023,01,Allegany,0801,Westernport Elementary,Kindergarten,33,20230214
2023,01,Allegany,0801,Westernport Elementary,Grade 1,41,20230214
2023,01,Allegany,0801,Westernport Elementary,Grade 2,37,20230214
2023,01,Allegany,0801,Westernport Elementary,Grade 3,43,20230214
2023,01,Allegany,0801,Westernport Elementary,Grade 4,45,20230214
2023,01,Allegany,0801,Westernport Elementary,Grade 5,41,20230214
2023,01,Allegany,0801,Westernport Elementary,All Grades,261,20230214
2023,01,Allegany,0802,Westmar Middle,Grade 6,76,20230214
2023,01,Allegany,0802,Westmar Middle,Grade 7,71,20230214
2023,01,Allegany,0802,Westmar Middle,Grade 8,85,20230214
2023,01,Allegany,0802,Westmar Middle,All Grades,232,20230214
2023,01,Allegany,1001,George's Creek Elementary,Prekindergarten Age 4,35,20230214
2023,01,Allegany,1001,George's Creek Elementary,Kindergarten,38,20230214
