Year,LEA,LEA Name,School,School Name,Grade,Enrolled Count,Create Date
2023,01,Allegany,1001,George's Creek Elementary,Grade 1,35,20230214
2023,01,Allegany,1001,George's Creek Elementary,Grade 2,27,20230214
2023,01,Allegany,1001,George's Creek Elementary,Grade 3,43,20230214
2023,01,Allegany,1001,George's Creek Elementary,Grade 4,36,20230214
2023,01,Allegany,1001,George's Creek Elementary,Grade 5,54,20230214
2023,01,Allegany,1001,George's Creek Elementary,All Grades,268,20230214
2023,01,Allegany,1101,Frost Elementary,Prekindergarten Age 4,39,20230214
2023,01,Allegany,1101,Frost Elementary,Kindergarten,34,20230214
2023,01,Allegany,1101,Frost Elementary,Grade 1,40,20230214
2023,01,Allegany,1101,Frost Elementary,Grade 2,25,20230214
2023,01,Allegany,1101,Frost Elementary,Grade 3,36,20230214
2023,01,Allegany,1101,Frost Elementary,Grade 4,23,20230214
2023,01,Allegany,1101,Frost Elementary,Grade 5,39,20230214
2023,01,Allegany,1101,Frost Elementary,All Grades,236,20230214
2023,01,Allegany,1301,Mount Savage Middle,Grade 6,139,20230214
2023,01,Allegany,1301,Mount Savage Middle,Grade 7,150,20230214
2023,01,Allegany,1301,Mount Savage Middle,Grade 8,136,20230214
2023,01,Allegany,1301,Mount Savage Middle,All Grades,425,20230214
2023,01,Allegany,1302,Mt. Savage Elementary,Prekindergarten Age 4,22,20230214
2023,01,Allegany,1302,Mt. Savage Elementary,Kindergarten,37,20230214
2023,01,Allegany,1302,Mt. Savage Elementary,Grade 1,29,20230214
2023,01,Allegany,1302,Mt. Savage Elementary,Grade 2,40,20230214
2023,01,Allegany,1302,Mt. Savage Elementary,Grade 3,34,20230214
2023,01,Allegany,1302,Mt. Savage Elementary,Grade 4,28,20230214
2023,01,Allegany,1302,Mt. Savage Elementary,Grade 5,30,20230214
2023,01,Allegany,1302,Mt. Savage Elementary,All Grades,220,20230214
2023,01,Allegany,2404,Mountain Ridge High School,Grade 9,213,20230214
2023,01,Allegany,2404,Mountain Ridge High School,Grade 10,218,20230214
2023,01,Allegany,2404,Mountain Ridge High School,Grade 11,146,20230214
2023,01,Allegany,2404,Mountain Ridge High School,Grade 12,159,20230214
2023,01,Allegany,2404,Mountain Ridge High School,All Grades,736,20230214
2023,01,Allegany,2801,Beall Elementary,Prekindergarten Age 4,60,20230214
2023,01,Allegany,2801,Beall Elementary,Kindergarten,59,20230214
2023,01,Allegany,2801,Beall Elementary,Grade 1,61,20230214
2023,01,Allegany,2801,Beall Elementary,Grade 2,70,20230214
2023,01,Allegany,2801,Beall Elementary,Grade 3,74,20230214
2023,01,Allegany,2801,Beall Elementary,Grade 4,53,20230214
2023,01,Allegany,2801,Beall Elementary,Grade 5,74,20230214
2023,01,Allegany,2801,Beall Elementary,All Grades,451,20230214
2023,01,Allegany,2901,Cash Valley Elementary,Prekindergarten Age 4,47,20230214
2023,01,Allegany,2901,Cash Valley Elementary,Kindergarten,40,20230214
2023,01,Allegany,2901,Cash Valley Elementary,Grade 1,40,20230214
2023,01,Allegany,2901,Cash Valley Elementary,Grade 2,36,20230214
2023,01,Allegany,2901,Cash Valley Elementary,Grade 3,49,20230214
2023,01,Allegany,2901,Cash Valley Elementary,Grade 4,34,20230214
2023,01,Allegany,2901,Cash Valley Elementary,Grade 5,29,20230214
2023,01,Allegany,2901,Cash Valley Elementary,All Grades,275,20230214
2023,01,Allegany,2902,Parkside Elementary,Prekindergarten Age 4,24,20230214
2023,01,Allegany,2902,Parkside Elementary,Kindergarten,24,20230214
2023,01,Allegany,2902,Parkside Elementary,Grade 1,28,20230214
2023,01,Allegany,2902,Parkside Elementary,Grade 2,30,20230214
2023,01,Allegany,2902,Parkside Elementary,Grade 3,38,20230214
2023,01,Allegany,2902,Parkside Elementary,Grade 4,36,20230214
2023,01,Allegany,2902,Parkside Elementary,Grade 5,30,20230214
2023,01,Allegany,2902,Parkside Elementary,All Grades,210,20230214
2023,01,Allegany,A,All Allegany Schools,All Prekindergarten,459,20230214
2023,01,Allegany,A,All Allegany Schools,All Kindergarten ,566,20230214
2023,01,Allegany,A,All Allegany Schools,All Elementary Grades,2912,20230214
2023,01,Allegany,A,All Allegany Schools,All Middle School Grades,1843,20230214
2023,01,Allegany,A,All Allegany Schools,All High School Grades,2401,20230214
2023,01,Allegany,A,All Allegany Schools,All Grades,8181,20230214
2023,02,Anne Arundel,1023,Brooklyn Park Middle,Grade 6,248,20230214
2023,02,Anne Arundel,1023,Brooklyn Park Middle,Grade 7,249,20230214
2023,02,Anne Arundel,1023,Brooklyn Park Middle,Grade 8,278,20230214
2023,02,Anne Arundel,1023,Brooklyn Park Middle,All Grades,775,20230214
2023,02,Anne Arundel,1033,Glen Burnie High,Grade 9,677,20230214
2023,02,Anne Arundel,1033,Glen Burnie High,Grade 10,635,20230214
2023,02,Anne Arundel,1033,Glen Burnie High,Grade 11,555,20230214
2023,02,Anne Arundel,1033,Glen Burnie High,Grade 12,457,20230214
2023,02,Anne Arundel,1033,Glen Burnie High,All Grades,2324,20230214
2023,02,Anne Arundel,1043,Corkran Middle School,Grade 6,202,20230214
2023,02,Anne Arundel,1043,Corkran Middle School,Grade 7,207,20230214
2023,02,Anne Arundel,1043,Corkran Middle School,Grade 8,235,20230214
2023,02,Anne Arundel,1043,Corkran Middle School,All Grades,644,20230214
2023,02,Anne Arundel,1053,Lindale Middle,Grade 6,399,20230214
2023,02,Anne Arundel,1053,Lindale Middle,Grade 7,397,20230214
2023,02,Anne Arundel,1053,Lindale Middle,Grade 8,382,20230214
2023,02,Anne Arundel,1053,Lindale Middle,All Grades,1178,20230214
2023,02,Anne Arundel,1063,Marley Middle,Grade 6,299,20230214
2023,02,Anne Arundel,1063,Marley Middle,Grade 7,327,20230214
2023,02,Anne Arundel,1063,Marley Middle,Grade 8,298,20230214
2023,02,Anne Arundel,1063,Marley Middle,All Grades,924,20230214
2023,02,Anne Arundel,1082,Belle Grove Elementary,Prekindergarten Age 4,28,20230214
2023,02,Anne Arundel,1082,Belle Grove Elementary,Kindergarten,51,20230214
2023,02,Anne Arundel,1082,Belle Grove Elementary,Grade 1,50,20230214
2023,02,Anne Arundel,1082,Belle Grove Elementary,Grade 2,48,20230214
2023,02,Anne Arundel,1082,Belle Grove Elementary,Grade 3,57,20230214
2023,02,Anne Arundel,1082,Belle Grove Elementary,Grade 4,31,20230214
2023,02,Anne Arundel,1082,Belle Grove Elementary,Grade 5,46,20230214
2023,02,Anne Arundel,1082,Belle Grove Elementary,All Grades,311,20230214
2023,02,Anne Arundel,1092,Brooklyn Park Elementary,Prekindergarten Age 4,50,20230214
2023,02,Anne Arundel,1092,Brooklyn Park Elementary,Kindergarten,77,20230214
2023,02,Anne Arundel,1092,Brooklyn Park Elementary,Grade 1,76,20230214
2023,02,Anne Arundel,1092,Brooklyn Park Elementary,Grade 2,69,20230214
2023,02,Anne Arundel,1092,Brooklyn Park Elementary,Grade 3,71,20230214
2023,02,Anne Arundel,1092,Brooklyn Park Elementary,Grade 4,74,20230214
2023,02,Anne Arundel,1092,Brooklyn Park Elementary,Grade 5,67,20230214
2023,02,Anne Arundel,1092,Brooklyn Park Elementary,All Grades,484,20230214
2023,02,Anne Arundel,1102,Ferndale Early Education Center,Prekindergarten Age 4,152,20230214
2023,02,Anne Arundel,1102,Ferndale Early Education Center,All Grades,152,20230214
2023,02,Anne Arundel,1112,George T. Cromwell Elementary,Kindergarten,74,20230214
2023,02,Anne Arundel,1112,George T. Cromwell Elementary,Grade 1,55,20230214
2023,02,Anne Arundel,1112,George T. Cromwell Elementary,Grade 2,65,20230214
2023,02,Anne Arundel,1112,George T. Cromwell Elementary,Grade 3,52,20230214
2023,02,Anne Arundel,1112,George T. Cromwell Elementary,Grade 4,57,20230214
2023,02,Anne Arundel,1112,George T. Cromwell Elementary,Grade 5,57,20230214
2023,02,Anne Arundel,1112,George T. Cromwell Elementary,All Grades,360,20230214
2023,02,Anne Arundel,1122,Freetown Elementary,Prekindergarten Age 4,53,20230214
2023,02,Anne Arundel,1122,Freetown Elementary,Kindergarten,71,20230214
2023,02,Anne Arundel,1122,Freetown Elementary,Grade 1,85,20230214
2023,02,Anne Arundel,1122,Freetown Elementary,Grade 2,73,20230214
2023,02,Anne Arundel,1122,Freetown Elementary,Grade 3,83,20230214
2023,02,Anne Arundel,1122,Freetown Elementary,Grade 4,72,20230214
2023,02,Anne Arundel,1122,Freetown Elementary,Grade 5,84,20230214
2023,02,Anne Arundel,1122,Freetown Elementary,All Grades,521,20230214
2023,02,Anne Arundel,1132,Glendale Elementary,Prekindergarten Age 4,34,20230214
2023,02,Anne Arundel,1132,Glendale Elementary,Kindergarten,64,20230214
2023,02,Anne Arundel,1132,Glendale Elementary,Grade 1,67,20230214
2023,02,Anne Arundel,1132,Glendale Elementary,Grade 2,52,20230214
2023,02,Anne Arundel,1132,Glendale Elementary,Grade 3,77,20230214
2023,02,Anne Arundel,1132,Glendale Elementary,Grade 4,49,20230214
2023,02,Anne Arundel,1132,Glendale Elementary,Grade 5,57,20230214
2023,02,Anne Arundel,1132,Glendale Elementary,All Grades,400,20230214
2023,02,Anne Arundel,1142,Hilltop Elementary,Kindergarten,91,20230214
2023,02,Anne Arundel,1142,Hilltop Elementary,Grade 1,82,20230214
2023,02,Anne Arundel,1142,Hilltop Elementary,Grade 2,75,20230214
2023,02,Anne Arundel,1142,Hilltop Elementary,Grade 3,84,20230214
2023,02,Anne Arundel,1142,Hilltop Elementary,Grade 4,108,20230214
2023,02,Anne Arundel,1142,Hilltop Elementary,Grade 5,95,20230214
2023,02,Anne Arundel,1142,Hilltop Elementary,All Grades,535,20230214
2023,02,Anne Arundel,1152,Linthicum Elementary,Prekindergarten Age 4,36,20230214
2023,02,Anne Arundel,1152,Linthicum Elementary,Kindergarten,74,20230214
2023,02,Anne Arundel,1152,Linthicum Elementary,Grade 1,71,20230214
2023,02,Anne Arundel,1152,Linthicum Elementary,Grade 2,65,20230214
2023,02,Anne Arundel,1152,Linthicum Elementary,Grade 3,68,20230214
2023,02,Anne Arundel,1152,Linthicum Elementary,Grade 4,69,20230214
2023,02,Anne Arundel,1152,Linthicum Elementary,Grade 5,76,20230214
2023,02,Anne Arundel,1152,Linthicum Elementary,All Grades,459,20230214
2023,02,Anne Arundel,1162,Marley Elementary,Prekindergarten Age 4,20,20230214
2023,02,Anne Arundel,1162,Marley Elementary,Kindergarten,114,20230214
2023,02,Anne Arundel,1162,Marley Elementary,Grade 1,131,20230214
2023,02,Anne Arundel,1162,Marley Elementary,Grade 2,118,20230214
2023,02,Anne Arundel,1162,Marley Elementary,Grade 3,122,20230214
2023,02,Anne Arundel,1162,Marley Elementary,Grade 4,118,20230214
2023,02,Anne Arundel,1162,Marley Elementary,Grade 5,133,20230214
2023,02,Anne Arundel,1162,Marley Elementary,All Grades,756,20230214
2023,02,Anne Arundel,1172,North Glen Elementary,Prekindergarten Age 4,34,20230214
2023,02,Anne Arundel,1172,North Glen Elementary,Kindergarten,45,20230214
2023,02,Anne Arundel,1172,North Glen Elementary,Grade 1,42,20230214
2023,02,Anne Arundel,1172,North Glen Elementary,Grade 2,46,20230214
2023,02,Anne Arundel,1172,North Glen Elementary,Grade 3,53,20230214
2023,02,Anne Arundel,1172,North Glen Elementary,Grade 4,38,20230214
2023,02,Anne Arundel,1172,North Glen Elementary,Grade 5,40,20230214
2023,02,Anne Arundel,1172,North Glen Elementary,All Grades,298,20230214
2023,02,Anne Arundel,1182,Oakwood Elementary,Prekindergarten Age 4,61,20230214
2023,02,Anne Arundel,1182,Oakwood Elementary,Kindergarten,52,20230214
2023,02,Anne Arundel,1182,Oakwood Elementary,Grade 1,57,20230214
2023,02,Anne Arundel,1182,Oakwood Elementary,Grade 2,69,20230214
2023,02,Anne Arundel,1182,Oakwood Elementary,Grade 3,51,20230214
2023,02,Anne Arundel,1182,Oakwood Elementary,Grade 4,46,20230214
2023,02,Anne Arundel,1182,Oakwood Elementary,Grade 5,42,20230214
2023,02,Anne Arundel,1182,Oakwood Elementary,All Grades,378,20230214
2023,02,Anne Arundel,1192,Overlook Elementary,Prekindergarten Age 4,40,20230214
2023,02,Anne Arundel,1192,Overlook Elementary,Kindergarten,44,20230214
2023,02,Anne Arundel,1192,Overlook Elementary,Grade 1,53,20230214
2023,02,Anne Arundel,1192,Overlook Elementary,Grade 2,56,20230214
2023,02,Anne Arundel,1192,Overlook Elementary,Grade 3,47,20230214
2023,02,Anne Arundel,1192,Overlook Elementary,Grade 4,54,20230214
2023,02,Anne Arundel,1192,Overlook Elementary,Grade 5,57,20230214
2023,02,Anne Arundel,1192,Overlook Elementary,All Grades,351,20230214
2023,02,Anne Arundel,1202,Park Elementary,Prekindergarten Age 4,38,20230214
2023,02,Anne Arundel,1202,Park Elementary,Kindergarten,64,20230214
2023,02,Anne Arundel,1202,Park Elementary,Grade 1,94,20230214
2023,02,Anne Arundel,1202,Park Elementary,Grade 2,84,20230214
2023,02,Anne Arundel,1202,Park Elementary,Grade 3,83,20230214
2023,02,Anne Arundel,1202,Park Elementary,Grade 4,84,20230214
2023,02,Anne Arundel,1202,Park Elementary,Grade 5,60,20230214
2023,02,Anne Arundel,1202,Park Elementary,All Grades,507,20230214
2023,02,Anne Arundel,1212,Point Pleasant Elementary,Prekindergarten Age 4,40,20230214
2023,02,Anne Arundel,1212,Point Pleasant Elementary,Kindergarten,84,20230214
2023,02,Anne Arundel,1212,Point Pleasant Elementary,Grade 1,83,20230214
2023,02,Anne Arundel,1212,Point Pleasant Elementary,Grade 2,82,20230214
2023,02,Anne Arundel,1212,Point Pleasant Elementary,Grade 3,71,20230214
2023,02,Anne Arundel,1212,Point Pleasant Elementary,Grade 4,70,20230214
2023,02,Anne Arundel,1212,Point Pleasant Elementary,Grade 5,79,20230214
2023,02,Anne Arundel,1212,Point Pleasant Elementary,All Grades,509,20230214
2023,02,Anne Arundel,1232,Quarterfield Elementary,Prekindergarten Age 4,57,20230214
2023,02,Anne Arundel,1232,Quarterfield Elementary,Kindergarten,50,20230214
2023,02,Anne Arundel,1232,Quarterfield Elementary,Grade 1,72,20230214
2023,02,Anne Arundel,1232,Quarterfield Elementary,Grade 2,55,20230214
2023,02,Anne Arundel,1232,Quarterfield Elementary,Grade 3,61,20230214
2023,02,Anne Arundel,1232,Quarterfield Elementary,Grade 4,79,20230214
2023,02,Anne Arundel,1232,Quarterfield Elementary,Grade 5,71,20230214
2023,02,Anne Arundel,1232,Quarterfield Elementary,All Grades,445,20230214
2023,02,Anne Arundel,1242,Richard Henry Lee Elementary,Kindergarten,84,20230214
2023,02,Anne Arundel,1242,Richard Henry Lee Elementary,Grade 1,91,20230214
2023,02,Anne Arundel,1242,Richard Henry Lee Elementary,Grade 2,86,20230214
2023,02,Anne Arundel,1242,Richard Henry Lee Elementary,Grade 3,85,20230214
2023,02,Anne Arundel,1242,Richard Henry Lee Elementary,Grade 4,81,20230214
2023,02,Anne Arundel,1242,Richard Henry Lee Elementary,Grade 5,83,20230214
2023,02,Anne Arundel,1242,Richard Henry Lee Elementary,All Grades,510,20230214
2023,02,Anne Arundel,1262,Woodside Elementary,Prekindergarten Age 4,19,20230214
2023,02,Anne Arundel,1262,Woodside Elementary,Kindergarten,63,20230214
2023,02,Anne Arundel,1262,Woodside Elementary,Grade 1,48,20230214
2023,02,Anne Arundel,1262,Woodside Elementary,Grade 2,44,20230214
2023,02,Anne Arundel,1262,Woodside Elementary,Grade 3,59,20230214
2023,02,Anne Arundel,1262,Woodside Elementary,Grade 4,53,20230214
2023,02,Anne Arundel,1262,Woodside Elementary,Grade 5,50,20230214
2023,02,Anne Arundel,1262,Woodside Elementary,All Grades,336,20230214
2023,02,Anne Arundel,1274,Marley Glen School,Prekindergarten Age 4,47,20230214
2023,02,Anne Arundel,1274,Marley Glen School,Kindergarten,*,20230214
2023,02,Anne Arundel,1274,Marley Glen School,Grade 1,*,20230214
2023,02,Anne Arundel,1274,Marley Glen School,Grade 2,*,20230214
2023,02,Anne Arundel,1274,Marley Glen School,Grade 3,*,20230214
2023,02,Anne Arundel,1274,Marley Glen School,Grade 4,*,20230214
2023,02,Anne Arundel,1274,Marley Glen School,Grade 5,*,20230214
2023,02,Anne Arundel,1274,Marley Glen School,Grade 6,*,20230214
2023,02,Anne Arundel,1274,Marley Glen School,Grade 7,*,20230214
2023,02,Anne Arundel,1274,Marley Glen School,Grade 8,*,20230214
2023,02,Anne Arundel,1274,Marley Glen School,Grade 9,*,20230214
2023,02,Anne Arundel,1274,Marley Glen School,Grade 10,*,20230214
2023,02,Anne Arundel,1274,Marley Glen School,Grade 11,10,20230214
2023,02,Anne Arundel,1274,Marley Glen School,All Grades,119,20230214
2023,02,Anne Arundel,1323,North County High,Grade 9,826,20230214
2023,02,Anne Arundel,1323,North County High,Grade 10,712,20230214
2023,02,Anne Arundel,1323,North County High,Grade 11,456,20230214
2023,02,Anne Arundel,1323,North County High,Grade 12,457,20230214
2023,02,Anne Arundel,1323,North County High,All Grades,2451,20230214
2023,02,Anne Arundel,2013,Severna Park High,Grade 9,492,20230214
2023,02,Anne Arundel,2013,Severna Park High,Grade 10,480,20230214
2023,02,Anne Arundel,2013,Severna Park High,Grade 11,412,20230214
2023,02,Anne Arundel,2013,Severna Park High,Grade 12,489,20230214
2023,02,Anne Arundel,2013,Severna Park High,All Grades,1873,20230214
2023,02,Anne Arundel,2023,Northeast High,Grade 9,398,20230214
2023,02,Anne Arundel,2023,Northeast High,Grade 10,392,20230214
2023,02,Anne Arundel,2023,Northeast High,Grade 11,307,20230214
2023,02,Anne Arundel,2023,Northeast High,Grade 12,293,20230214
2023,02,Anne Arundel,2023,Northeast High,All Grades,1390,20230214
2023,02,Anne Arundel,2033,Northeast Middle,Grade 6,300,20230214
2023,02,Anne Arundel,2033,Northeast Middle,Grade 7,287,20230214
2023,02,Anne Arundel,2033,Northeast Middle,Grade 8,295,20230214
2023,02,Anne Arundel,2033,Northeast Middle,All Grades,882,20230214
2023,02,Anne Arundel,2043,Severna Park Middle,Grade 6,455,20230214
2023,02,Anne Arundel,2043,Severna Park Middle,Grade 7,488,20230214
2023,02,Anne Arundel,2043,Severna Park Middle,Grade 8,456,20230214
2023,02,Anne Arundel,2043,Severna Park Middle,All Grades,1399,20230214
2023,02,Anne Arundel,2052,Arnold Elementary,Kindergarten,66,20230214
2023,02,Anne Arundel,2052,Arnold Elementary,Grade 1,89,20230214
2023,02,Anne Arundel,2052,Arnold Elementary,Grade 2,91,20230214
2023,02,Anne Arundel,2052,Arnold Elementary,Grade 3,90,20230214
2023,02,Anne Arundel,2052,Arnold Elementary,Grade 4,84,20230214
2023,02,Anne Arundel,2052,Arnold Elementary,Grade 5,83,20230214
2023,02,Anne Arundel,2052,Arnold Elementary,All Grades,503,20230214
2023,02,Anne Arundel,2062,Belvedere Elementary,Prekindergarten Age 4,33,20230214
2023,02,Anne Arundel,2062,Belvedere Elementary,Kindergarten,76,20230214
2023,02,Anne Arundel,2062,Belvedere Elementary,Grade 1,90,20230214
2023,02,Anne Arundel,2062,Belvedere Elementary,Grade 2,93,20230214
2023,02,Anne Arundel,2062,Belvedere Elementary,Grade 3,85,20230214
2023,02,Anne Arundel,2062,Belvedere Elementary,Grade 4,78,20230214
2023,02,Anne Arundel,2062,Belvedere Elementary,Grade 5,80,20230214
2023,02,Anne Arundel,2062,Belvedere Elementary,All Grades,535,20230214
2023,02,Anne Arundel,2072,Benfield Elementary,Prekindergarten Age 4,33,20230214
2023,02,Anne Arundel,2072,Benfield Elementary,Kindergarten,68,20230214
2023,02,Anne Arundel,2072,Benfield Elementary,Grade 1,86,20230214
2023,02,Anne Arundel,2072,Benfield Elementary,Grade 2,73,20230214
2023,02,Anne Arundel,2072,Benfield Elementary,Grade 3,62,20230214
2023,02,Anne Arundel,2072,Benfield Elementary,Grade 4,67,20230214
2023,02,Anne Arundel,2072,Benfield Elementary,Grade 5,66,20230214
2023,02,Anne Arundel,2072,Benfield Elementary,All Grades,455,20230214
2023,02,Anne Arundel,2082,Bodkin Elementary,Prekindergarten Age 4,19,20230214
2023,02,Anne Arundel,2082,Bodkin Elementary,Kindergarten,74,20230214
2023,02,Anne Arundel,2082,Bodkin Elementary,Grade 1,86,20230214
2023,02,Anne Arundel,2082,Bodkin Elementary,Grade 2,80,20230214
2023,02,Anne Arundel,2082,Bodkin Elementary,Grade 3,98,20230214
2023,02,Anne Arundel,2082,Bodkin Elementary,Grade 4,76,20230214
2023,02,Anne Arundel,2082,Bodkin Elementary,Grade 5,87,20230214
2023,02,Anne Arundel,2082,Bodkin Elementary,All Grades,520,20230214
2023,02,Anne Arundel,2092,Cape St. Claire Elementary,Prekindergarten Age 4,40,20230214
2023,02,Anne Arundel,2092,Cape St. Claire Elementary,Kindergarten,97,20230214
2023,02,Anne Arundel,2092,Cape St. Claire Elementary,Grade 1,98,20230214
2023,02,Anne Arundel,2092,Cape St. Claire Elementary,Grade 2,118,20230214
2023,02,Anne Arundel,2092,Cape St. Claire Elementary,Grade 3,90,20230214
2023,02,Anne Arundel,2092,Cape St. Claire Elementary,Grade 4,90,20230214
2023,02,Anne Arundel,2092,Cape St. Claire Elementary,Grade 5,98,20230214
2023,02,Anne Arundel,2092,Cape St. Claire Elementary,All Grades,631,20230214
2023,02,Anne Arundel,2102,Folger Mckinsey Elementary,Kindergarten,104,20230214
2023,02,Anne Arundel,2102,Folger Mckinsey Elementary,Grade 1,109,20230214
