Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Chronic Absentee Cnt,Chronic Absentee Denom,Chronic Absentee Pct,Create Date
2022,30,Baltimore City,0233,Roland Park Elementary/Middle,Middle,93.1,76851.5,82588.0,32.2,220,14.9,102,683,135,707,19.1,20221114
2022,30,Baltimore City,0233,Roland Park Elementary/Middle,All,93.3,138804.5,148814.0,27.4,338,16.1,199,1235,278,1378,20.2,20221114
2022,30,Baltimore City,0234,Arlington Elementary,Elementary,87.1,30607.0,35123.0,11.0,32,43.1,125,290,216,393,55.0,20221114
2022,30,Baltimore City,0235,Glenmount Elementary/Middle,Elementary,91.7,36870.5,40210.0,20.1,66,20.1,66,328,146,433,33.7,20221114
2022,30,Baltimore City,0235,Glenmount Elementary/Middle,Middle,90.7,26140.5,28825.0,20.1,48,25.5,61,239,96,260,36.9,20221114
2022,30,Baltimore City,0235,Glenmount Elementary/Middle,All,91.3,63011.0,69035.0,20.1,114,22.4,127,567,242,693,34.9,20221114
2022,30,Baltimore City,0236,Hamilton Elementary/Middle,Elementary,89.9,39177.0,43564.0,17.9,65,28.9,105,363,198,477,41.5,20221114
2022,30,Baltimore City,0236,Hamilton Elementary/Middle,Middle,91.2,42037.5,46073.0,29.4,113,22.1,85,385,114,402,28.4,20221114
2022,30,Baltimore City,0236,Hamilton Elementary/Middle,All,90.6,81214.5,89637.0,23.8,178,25.4,190,748,312,879,35.5,20221114
2022,30,Baltimore City,0237,Highlandtown Elementary/Middle #237,Elementary,86.7,41308.0,47639.0,11.9,47,38.4,152,396,280,533,52.5,20221114
2022,30,Baltimore City,0237,Highlandtown Elementary/Middle #237,Middle,86.2,29012.0,33661.0,13.2,37,41.1,115,280,160,318,50.3,20221114
2022,30,Baltimore City,0237,Highlandtown Elementary/Middle #237,All,86.5,70320.0,81300.0,12.4,84,39.5,267,676,440,851,51.7,20221114
2022,30,Baltimore City,0239,Benjamin Franklin High School at Masonville Cove,High,61.4,50538.0,82253.0,<= 5.0,*,74.9,489,653,636,778,81.7,20221114
2022,30,Baltimore City,0240,Graceland Park/O'Donnell Heights Elementary/Middle,Elementary,88.4,38821.0,43893.0,9.5,35,40.9,150,367,259,487,53.2,20221114
2022,30,Baltimore City,0240,Graceland Park/O'Donnell Heights Elementary/Middle,Middle,89.4,20566.5,22994.0,12.4,24,41.2,80,194,112,216,51.9,20221114
2022,30,Baltimore City,0240,Graceland Park/O'Donnell Heights Elementary/Middle,All,88.8,59387.5,66887.0,10.5,59,41.0,230,561,371,703,52.8,20221114
2022,30,Baltimore City,0241,Fallstaff Elementary/Middle,Elementary,87.2,27248.0,31252.0,8.5,22,39.5,102,258,181,357,50.7,20221114
2022,30,Baltimore City,0241,Fallstaff Elementary/Middle,Middle,84.7,18515.0,21866.0,11.2,20,44.1,79,179,112,206,54.4,20221114
2022,30,Baltimore City,0241,Fallstaff Elementary/Middle,All,86.2,45763.0,53118.0,9.6,42,41.4,181,437,293,563,52.0,20221114
2022,30,Baltimore City,0242,Northwood Elementary,Elementary,88.6,44309.0,50011.0,13.6,57,36.2,152,420,253,530,47.7,20221114
2022,30,Baltimore City,0243,Armistead Gardens Elementary/Middle,Elementary,90.3,39554.0,43784.0,14.1,52,35.9,133,370,214,466,45.9,20221114
2022,30,Baltimore City,0243,Armistead Gardens Elementary/Middle,Middle,89.5,25251.5,28205.0,16.3,39,33.5,80,239,107,257,41.6,20221114
2022,30,Baltimore City,0243,Armistead Gardens Elementary/Middle,All,90.0,64805.5,71989.0,14.9,91,35.0,213,609,321,723,44.4,20221114
