Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Rate,Mobility Count,Entrants Rate,Entrants Count,Withdrawals Rate,Withdrawals Count,Average Daily Member Count,Create Date
2023,01,Allegany,0301,Flintstone Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20240115
2023,01,Allegany,0401,South Penn Elementary,Elementary,13.3,59,<= 5.0,*,8.8,39,444.1,20240115
2023,01,Allegany,0402,John Humbird Elementary,Elementary,19.7,40,6.9,14,12.8,26,202.7,20240115
2023,01,Allegany,0405,Fort Hill High,High,18.5,125,<= 5.0,*,14.1,95,674.3,20240115
2023,01,Allegany,0406,Washington Middle,Middle,14.1,82,<= 5.0,*,9.3,54,582.1,20240115
2023,01,Allegany,0502,Northeast Elementary,Elementary,14.1,35,7.2,18,6.8,17,248.4,20240115
2023,01,Allegany,0504,Braddock Middle,Middle,14.4,86,<= 5.0,*,10.9,65,596.0,20240115
2023,01,Allegany,0601,Center for Career & Technical Education,High,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20240115
2023,01,Allegany,0603,West Side Elementary,Elementary,19.0,53,7.9,22,11.1,31,279.5,20240115
2023,01,Allegany,0606,Allegany High,High,17.9,119,<= 5.0,*,14.4,96,665.7,20240115
2023,01,Allegany,0701,Cresaptown Elementary,Elementary,9.3,23,<= 5.0,*,6.1,15,246.2,20240115
2023,01,Allegany,0702,Bel Air Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20240115
2023,01,Allegany,0801,Westernport Elementary,Elementary,13.9,33,<= 5.0,*,10.5,25,237.2,20240115
2023,01,Allegany,0802,Westmar Middle,Middle,13.0,30,<= 5.0,*,9.1,21,230.8,20240115
2023,01,Allegany,1001,George's Creek Elementary,Elementary,8.0,19,<= 5.0,*,5.5,13,236.6,20240115
2023,01,Allegany,1101,Frost Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20240115
2023,01,Allegany,1301,Mount Savage Middle,Middle,10.2,43,<= 5.0,*,6.6,28,422.4,20240115
2023,01,Allegany,1302,Mt. Savage Elementary,Elementary,7.1,14,<= 5.0,*,<= 5.0,*,197.9,20240115
2023,01,Allegany,2404,Mountain Ridge High School,High,9.5,70,<= 5.0,*,7.2,53,733.1,20240115
2023,01,Allegany,2801,Beall Elementary,Elementary,11.4,44,<= 5.0,*,9.1,35,385.9,20240115
2023,01,Allegany,2901,Cash Valley Elementary,Elementary,15.4,35,6.1,14,9.2,21,227.8,20240115
2023,01,Allegany,2902,Parkside Elementary,Elementary,10.7,20,<= 5.0,*,7.0,13,186.4,20240115
2023,01,Allegany,A,All Allegany Schools,Elementary,11.6,402,<= 5.0,*,7.6,265,3471.2,20240115
2023,01,Allegany,A,All Allegany Schools,Middle,13.2,241,<= 5.0,*,9.2,168,1831.3,20240115
2023,01,Allegany,A,All Allegany Schools,High,13.9,327,<= 5.0,*,10.8,254,2353.9,20240115
2023,01,Allegany,A,All Allegany Schools,All,12.7,970,<= 5.0,*,9.0,687,7656.3,20240115
2023,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,10.2,80,<= 5.0,*,5.7,45,783.3,20240115
2023,02,Anne Arundel,1033,Glen Burnie High,High,12.3,284,<= 5.0,*,8.5,195,2307.1,20240115
2023,02,Anne Arundel,1043,Corkran Middle School,Middle,14.2,91,5.9,38,8.2,53,643.1,20240115
2023,02,Anne Arundel,1053,Lindale Middle,Middle,11.6,137,5.2,62,6.3,75,1183.9,20240115
2023,02,Anne Arundel,1063,Marley Middle,Middle,14.4,135,6.3,59,8.1,76,935.7,20240115
2023,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,16.7,49,11.6,34,5.1,15,293.0,20240115
2023,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,11.4,50,<= 5.0,*,7.1,31,436.7,20240115
2023,02,Anne Arundel,1112,George T. Cromwell Elementary,Elementary,14.2,52,6.0,22,8.2,30,367.3,20240115
2023,02,Anne Arundel,1122,Freetown Elementary,Elementary,16.7,78,7.1,33,9.6,45,467.5,20240115
2023,02,Anne Arundel,1132,Glendale Elementary,Elementary,16.1,62,8.8,34,7.3,28,385.4,20240115
2023,02,Anne Arundel,1142,Hilltop Elementary,Elementary,18.4,99,9.6,52,8.7,47,539.3,20240115
2023,02,Anne Arundel,1152,Linthicum Elementary,Elementary,8.7,37,<= 5.0,*,5.4,23,423.3,20240115
2023,02,Anne Arundel,1162,Marley Elementary,Elementary,16.5,121,6.4,47,10.1,74,731.6,20240115
2023,02,Anne Arundel,1172,North Glen Elementary,Elementary,13.9,38,8.4,23,5.5,15,273.6,20240115
2023,02,Anne Arundel,1182,Oakwood Elementary,Elementary,12.8,41,7.8,25,<= 5.0,*,320.2,20240115
2023,02,Anne Arundel,1192,Overlook Elementary,Elementary,12.0,37,<= 5.0,*,7.5,23,308.7,20240115
2023,02,Anne Arundel,1202,Park Elementary,Elementary,14.3,69,7.3,35,7.1,34,481.3,20240115
