Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Pct,Mobility Cnt,Entrants Pct,Entrants Cnt,Withdrawals Pct,Withdrawals Cnt,Avg Daily Member Cnt,Create Date
2013,01,Allegany,0301,Flintstone Elementary,Elementary,16.8,33,8.1,16,8.6,17,196.7,20160624
2013,01,Allegany,0401,South Penn Elementary,Elementary,19.7,82,12.0,50,7.7,32,416.0,20160624
2013,01,Allegany,0402,John Humbird Elementary,Elementary,35.9,93,17.4,45,18.5,48,259.3,20160624
2013,01,Allegany,0405,Fort Hill High,High,17.0,123,6.0,43,11.1,80,722.0,20160624
2013,01,Allegany,0406,Washington Middle,Middle,16.4,107,6.3,41,10.1,66,651.2,20160624
2013,01,Allegany,0502,Northeast Elementary,Elementary,17.4,52,8.0,24,9.3,28,299.7,20160624
2013,01,Allegany,0504,Braddock Middle,Middle,14.0,79,6.0,34,8.0,45,563.6,20160624
2013,01,Allegany,0601,Center for Career & Technology Education,High,9.9,29,<= 5.0,*,7.2,21,292.2,20160624
2013,01,Allegany,0602,Allegany County Evening High School,High,>= 95.0,*,>= 95.0,*,39.0,4,10.3,20160624
2013,01,Allegany,0603,West Side Elementary,Elementary,23.3,73,8.6,27,14.7,46,313.5,20160624
2013,01,Allegany,0606,Allegany High,High,13.7,93,5.5,37,8.3,56,678.7,20160624
2013,01,Allegany,0701,Cresaptown Elementary,Elementary,10.4,35,5.9,20,<= 5.0,*,336.6,20160624
2013,01,Allegany,0702,Bel Air Elementary,Elementary,18.4,34,10.8,20,7.6,14,184.9,20160624
2013,01,Allegany,0801,Westernport Elementary,Elementary,13.6,32,6.8,16,6.8,16,236.0,20160624
2013,01,Allegany,0802,Westmar Middle,Middle,12.2,32,<= 5.0,*,8.0,21,261.8,20160624
2013,01,Allegany,1001,George's Creek Elementary,Elementary,14.3,40,5.7,16,8.6,24,279.4,20160624
2013,01,Allegany,1101,Frost Elementary,Elementary,5.5,12,<= 5.0,*,<= 5.0,*,217.2,20160624
2013,01,Allegany,1301,Mount Savage Middle,Middle,9.7,38,<= 5.0,*,5.6,22,393.6,20160624
2013,01,Allegany,1302,Mt. Savage Elementary,Elementary,11.2,23,<= 5.0,*,7.8,16,204.9,20160624
2013,01,Allegany,2401,Eckhart Alternative School,Middle,>= 95.0,*,>= 95.0,*,80.7,22,27.3,20160624
2013,01,Allegany,2401,Eckhart Alternative School,High,>= 95.0,*,>= 95.0,*,>= 95.0,*,*,20160624
2013,01,Allegany,2404,Mountain Ridge High School,High,13.1,112,<= 5.0,*,8.3,71,855.0,20160624
2013,01,Allegany,2801,Beall Elementary,Elementary,9.5,32,<= 5.0,*,5.9,20,337.5,20160624
2013,01,Allegany,2901,Cash Valley Elementary,Elementary,16.6,47,8.1,23,8.5,24,282.7,20160624
2013,01,Allegany,2902,Parkside Elementary,Elementary,19.1,46,10.8,26,8.3,20,240.6,20160624
2013,01,Allegany,5556,Transition Program at Cumberland,High,8.9,2,<= 5.0,*,<= 5.0,*,22.4,20160624
2013,01,Allegany,7777,Allegany County Home & Hospital,Elementary,*,*,*,*,*,*,*,20160624
2013,01,Allegany,7777,Allegany County Home & Hospital,Middle,*,*,*,*,*,*,*,20160624
2013,01,Allegany,7777,Allegany County Home & Hospital,High,*,*,*,*,*,*,*,20160624
2013,01,Allegany,A,All Allegany Schools,Elementary,17.7,676,8.7,331,9.1,345,3812.1,20160624
2013,01,Allegany,A,All Allegany Schools,Middle,18.5,352,8.5,161,10.0,191,1903.8,20160624
2013,01,Allegany,A,All Allegany Schools,High,20.4,538,9.0,238,11.4,300,2639.5,20160624
2013,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,18.6,111,11.1,66,7.5,45,596.5,20160624
2013,02,Anne Arundel,1033,Glen Burnie High,High,21.2,406,9.4,181,11.7,225,1918.4,20160624
2013,02,Anne Arundel,1043,Corkran Middle School,Middle,19.9,112,10.1,57,9.8,55,562.1,20160624
2013,02,Anne Arundel,1053,Lindale Middle,Middle,17.9,140,10.5,82,7.4,58,781.5,20160624
2013,02,Anne Arundel,1063,Marley Middle,Middle,16.9,128,9.1,69,7.8,59,757.0,20160624
2013,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,39.2,76,15.5,30,23.7,46,194.1,20160624
2013,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,18.2,66,12.9,47,5.2,19,363.1,20160624
2013,02,Anne Arundel,1112,George T. Cromwell Elementary,Elementary,15.5,45,8.6,25,6.9,20,291.0,20160624
2013,02,Anne Arundel,1122,Freetown Elementary,Elementary,18.7,87,10.3,48,8.4,39,465.8,20160624
2013,02,Anne Arundel,1132,Glendale Elementary,Elementary,19.0,74,7.4,29,11.5,45,390.3,20160624
2013,02,Anne Arundel,1142,Hilltop Elementary,Elementary,21.0,116,12.3,68,8.7,48,551.2,20160624
2013,02,Anne Arundel,1152,Linthicum Elementary,Elementary,8.8,39,5.4,24,<= 5.0,*,443.9,20160624
2013,02,Anne Arundel,1162,Marley Elementary,Elementary,26.2,142,16.4,89,9.8,53,542.2,20160624
2013,02,Anne Arundel,1172,North Glen Elementary,Elementary,19.6,41,10.5,22,9.1,19,209.5,20160624
2013,02,Anne Arundel,1182,Oakwood Elementary,Elementary,20.1,52,5.8,15,14.3,37,258.7,20160624
2013,02,Anne Arundel,1192,Overlook Elementary,Elementary,23.4,61,11.9,31,11.5,30,260.4,20160624
2013,02,Anne Arundel,1202,Park Elementary,Elementary,25.7,107,15.4,64,10.3,43,416.2,20160624
2013,02,Anne Arundel,1212,Point Pleasant Elementary,Elementary,>= 95.0,*,>= 95.0,*,8.0,39,489.6,20160624
2013,02,Anne Arundel,1232,Quarterfield Elementary,Elementary,27.5,102,13.0,48,14.6,54,370.4,20160624
2013,02,Anne Arundel,1242,Richard Henry Lee Elementary,Elementary,19.9,100,11.1,56,8.8,44,502.6,20160624
2013,02,Anne Arundel,1262,Woodside Elementary,Elementary,>= 95.0,*,>= 95.0,*,7.7,21,272.7,20160624
2013,02,Anne Arundel,1274,Marley Glen School,Elementary,11.4,3,<= 5.0,*,7.6,2,26.3,20160624
2013,02,Anne Arundel,1274,Marley Glen School,Middle,*,*,*,*,*,*,*,20160624
