Academic Year,LSS Number,LSS Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Chronic Absentee Cnt,Chronic Absentee Denom,Chronic Absentee Pct,Create Date
2021,01,Allegany,0301,Flintstone Elementary,Elementary,94.3,18408.5,19527.0,44.6,70,15.9,25,157,38,205,18.5,20220125
2021,01,Allegany,0401,South Penn Elementary,Elementary,92.1,41261.0,44811.0,35.5,133,23.5,88,375,154,459,33.6,20220125
2021,01,Allegany,0402,John Humbird Elementary,Elementary,92.5,21284.0,23012.0,25.4,48,24.3,46,189,80,237,33.8,20220125
2021,01,Allegany,0405,Fort Hill High,High,93.7,74368.0,79383.0,52.3,343,18.9,124,656,153,673,22.7,20220125
2021,01,Allegany,0406,Washington Middle,Middle,94.1,68286.5,72560.0,51.6,308,19.3,115,597,144,635,22.7,20220125
2021,01,Allegany,0502,Northeast Elementary,Elementary,94.3,25133.0,26651.0,41.9,93,15.3,34,222,59,276,21.4,20220125
2021,01,Allegany,0504,Braddock Middle,Middle,94.3,69767.0,73991.0,54.1,331,15.4,94,612,129,639,20.2,20220125
2021,01,Allegany,0601,Center for Career & Technical Education,High,94.1,29017.0,30824.0,32.7,83,17.3,44,254,61,260,23.5,20220125
2021,01,Allegany,0603,West Side Elementary,Elementary,92.6,29134.5,31474.0,53.1,136,18.0,46,256,86,330,26.1,20220125
2021,01,Allegany,0606,Allegany High,High,>= 95.0,*,*,63.3,461,12.4,90,728,113,758,14.9,20220125
2021,01,Allegany,0701,Cresaptown Elementary,Elementary,>= 95.0,*,*,59.2,135,10.1,23,228,35,273,12.8,20220125
2021,01,Allegany,0702,Bel Air Elementary,Elementary,>= 95.0,*,*,58.4,97,<= 5.0,*,166,21,206,10.2,20220125
2021,01,Allegany,0801,Westernport Elementary,Elementary,>= 95.0,*,*,43.8,85,14.4,28,194,41,233,17.6,20220125
2021,01,Allegany,0802,Westmar Middle,Middle,>= 95.0,*,*,49.6,124,13.6,34,250,46,261,17.6,20220125
2021,01,Allegany,1001,George's Creek Elementary,Elementary,93.8,22793.5,24299.0,35.5,71,16.5,33,200,61,239,25.5,20220125
2021,01,Allegany,1101,Frost Elementary,Elementary,>= 95.0,*,*,68.6,105,5.9,9,153,17,178,9.6,20220125
2021,01,Allegany,1301,Mount Savage Middle,Middle,>= 95.0,*,*,62.9,239,11.1,42,380,50,395,12.7,20220125
2021,01,Allegany,1302,Mt. Savage Elementary,Elementary,>= 95.0,*,*,59.6,84,9.9,14,141,31,185,16.8,20220125
2021,01,Allegany,2404,Mountain Ridge High School,High,>= 95.0,*,*,67.0,514,9.3,71,767,101,793,12.7,20220125
2021,01,Allegany,2801,Beall Elementary,Elementary,>= 95.0,*,*,51.5,169,8.8,29,328,60,420,14.3,20220125
2021,01,Allegany,2901,Cash Valley Elementary,Elementary,94.0,22155.0,23572.0,50.5,97,12.0,23,192,53,260,20.4,20220125
2021,01,Allegany,2902,Parkside Elementary,Elementary,93.6,16329.5,17448.0,50.0,72,15.3,22,144,40,191,20.9,20220125
2021,01,Allegany,A,All Allegany Schools,Elementary,94.5,337351.5,356815.0,47.1,1391,14.8,438,2951,727,3592,20.2,20220125
2021,01,Allegany,A,All Allegany Schools,Middle,94.8,211426.0,223031.0,54.2,998,15.9,293,1843,355,1899,18.7,20220125
2021,01,Allegany,A,All Allegany Schools,High,>= 95.0,*,*,58.2,1401,13.9,334,2408,415,2461,16.9,20220125
2021,01,Allegany,A,All Allegany Schools,All,94.8,826850.5,871810.0,52.6,3790,14.8,1065,7202,1497,7952,18.8,20220125
2021,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,93.7,93447.0,99772.0,52.5,461,20.8,183,878,211,906,23.3,20220125
