Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Pct,Mobility Cnt,Entrants Pct,Entrants Cnt,Withdrawals Pct,Withdrawals Cnt,Avg Daily Member Cnt,Create Date
2007,01,Allegany,0301,Flintstone Elementary,Elementary,12.1,,5.4,12,6.7,15,222.8,20120327
2007,01,Allegany,0401,South Penn Elementary,Elementary,23.2,,10.8,48,12.4,55,443.4,20120327
2007,01,Allegany,0402,John Humbird Elementary,Elementary,21.3,,8.8,27,12.4,38,305.3,20120327
2007,01,Allegany,0405,Fort Hill High,High,20.8,,9.0,96,11.9,127,1071.2,20120327
2007,01,Allegany,0406,Washington Middle,Middle,15.8,,7.3,51,8.5,59,697.5,20120327
2007,01,Allegany,0502,Northeast Elementary,Elementary,13.0,,7.8,24,5.2,16,306.5,20120327
2007,01,Allegany,0504,Braddock Middle,Middle,17.8,,8.1,52,9.8,63,644.7,20120327
2007,01,Allegany,0602,Allegany County Evening High School,High,*,*,*,*,*,*,*,20120327
2007,01,Allegany,0603,West Side Elementary,Elementary,27.8,,13.3,34,14.5,37,255.7,20120327
2007,01,Allegany,0606,Allegany High,High,18.6,,7.3,64,11.3,99,877.1,20120327
2007,01,Allegany,0701,Cresaptown Elementary,Elementary,17.3,,7.7,25,9.6,31,323.2,20120327
2007,01,Allegany,0702,Bel Air Elementary,Elementary,18.3,,9.9,21,8.5,18,212.7,20120327
2007,01,Allegany,0801,Westernport Elementary,Elementary,11.0,,5.5,13,5.5,13,235.5,20120327
2007,01,Allegany,0802,Westmar Middle,Middle,11.0,,5.8,18,5.2,16,309.4,20120327
2007,01,Allegany,1001,George's Creek Elementary,Elementary,13.5,,7.9,25,5.7,18,317.4,20120327
2007,01,Allegany,1002,Westmar High,High,14.0,,6.0,27,8.0,36,448.5,20120327
2007,01,Allegany,1101,Frost Elementary,Elementary,6.2,,<= 5.0,*,<= 5.0,*,227.0,20120327
2007,01,Allegany,1301,Mount Savage Middle,Middle,7.7,,<= 5.0,*,<= 5.0,*,426.7,20120327
2007,01,Allegany,1302,Mt. Savage Elementary,Elementary,10.5,,5.2,13,5.2,13,248.4,20120327
2007,01,Allegany,2402,Beall High,High,12.8,,6.0,39,6.8,44,648.3,20120327
2007,01,Allegany,2801,Beall Elementary,Elementary,14.9,,8.1,25,6.8,21,308.4,20120327
2007,01,Allegany,2901,Cash Valley Elementary,Elementary,19.6,,10.9,25,8.7,20,230.0,20120327
2007,01,Allegany,2902,Parkside Elementary,Elementary,18.1,,8.9,22,9.3,23,248.0,20120327
2007,01,Allegany,7777,Allegany County Home & Hospital,Elementary,*,*,*,*,*,*,*,20120327
2007,01,Allegany,7777,Allegany County Home & Hospital,Middle,*,*,*,*,*,*,*,20120327
2007,01,Allegany,7777,Allegany County Home & Hospital,High,*,*,*,*,*,*,*,20120327
2007,01,Allegany,A,All Allegany Schools,Elementary,16.9,,8.4,327,8.5,329,3886.1,20120327
2007,01,Allegany,A,All Allegany Schools,Middle,14.4,,7.2,149,7.3,151,2078.9,20120327
2007,01,Allegany,A,All Allegany Schools,High,18.5,,7.9,241,10.6,322,3051.5,20120327
2007,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,24.0,,14.3,81,9.7,55,567.1,20120327
2007,02,Anne Arundel,1033,Glen Burnie Senior,High,29.6,,11.8,246,17.8,373,2090.4,20120327
2007,02,Anne Arundel,1043,Corkran Middle School,Middle,19.8,,10.4,75,9.4,68,722.0,20120327
2007,02,Anne Arundel,1053,Lindale Middle,Middle,24.4,,13.2,115,11.2,97,868.0,20120327
2007,02,Anne Arundel,1063,Marley Middle,Middle,>= 95.0,*,>= 95.0,*,10.2,85,834.1,20120327
2007,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,32.5,,20.2,33,12.3,20,163.0,20120327
2007,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,22.8,,14.9,49,7.9,26,329.7,20120327
2007,02,Anne Arundel,1102,Ferndale Early Childhood Center,Elementary,16.4,,9.1,5,7.3,4,54.7,20120327
2007,02,Anne Arundel,1112,George Cromwell Elementary,Elementary,15.8,,9.3,24,6.6,17,259.3,20120327
2007,02,Anne Arundel,1122,Freetown Elementary,Elementary,32.3,,14.6,50,17.8,61,343.2,20120327
2007,02,Anne Arundel,1132,Glendale Elementary,Elementary,19.1,,12.1,53,7.0,31,439.8,20120327
2007,02,Anne Arundel,1142,Hilltop Elementary,Elementary,21.9,,11.1,57,10.9,56,515.8,20120327
2007,02,Anne Arundel,1152,Linthicum Elementary,Elementary,16.5,,7.1,28,9.4,37,394.9,20120327
2007,02,Anne Arundel,1162,Marley Elementary,Elementary,21.7,,11.3,53,10.4,49,469.7,20120327
2007,02,Anne Arundel,1172,North Glen Elementary,Elementary,29.8,,13.9,27,15.9,31,194.4,20120327
2007,02,Anne Arundel,1182,Oakwood Elementary,Elementary,21.9,,11.5,23,10.5,21,200.7,20120327
2007,02,Anne Arundel,1192,Overlook Elementary,Elementary,25.3,,11.3,24,14.1,30,213.0,20120327
2007,02,Anne Arundel,1202,Park Elementary,Elementary,31.2,,16.5,59,14.8,53,358.5,20120327
2007,02,Anne Arundel,1212,Point Pleasant Elementary,Elementary,22.2,,12.4,61,9.8,48,490.2,20120327
2007,02,Anne Arundel,1232,Quarterfield Elementary,Elementary,>= 95.0,*,>= 95.0,*,7.6,29,382.8,20120327
2007,02,Anne Arundel,1242,Richard Henry Lee Elementary,Elementary,21.5,,11.9,57,9.6,46,479.5,20120327
2007,02,Anne Arundel,1262,Woodside Elementary,Elementary,27.9,,15.6,39,12.4,31,250.7,20120327
2007,02,Anne Arundel,1274,Marley Glen School,Elementary,20.4,,12.7,5,7.6,3,39.2,20120327
2007,02,Anne Arundel,1274,Marley Glen School,Middle,59.6,,14.9,2,44.7,6,13.4,20120327
2007,02,Anne Arundel,1274,Marley Glen School,High,52.2,,29.0,5,23.2,4,17.2,20120327
2007,02,Anne Arundel,1313,Glen Burnie Evening High,High,>= 95.0,*,>= 95.0,*,81.2,76,93.6,20120327
2007,02,Anne Arundel,1323,North County High,High,>= 95.0,*,>= 95.0,*,15.1,291,1928.4,20120327
2007,02,Anne Arundel,2013,Severna Park Sr High,High,5.9,,<= 5.0,*,<= 5.0,*,1868.9,20120327
2007,02,Anne Arundel,2023,Northeast Sr High,High,14.8,,5.2,76,9.6,139,1448.6,20120327
2007,02,Anne Arundel,2033,George Fox Middle,Middle,14.3,,7.4,60,6.8,55,807.0,20120327
2007,02,Anne Arundel,2043,Severna Park Middle,Middle,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20120327
2007,02,Anne Arundel,2052,Arnold Elementary,Elementary,>= 95.0,*,>= 95.0,*,<= 5.0,*,*,20120327
2007,02,Anne Arundel,2062,Belvedere Elementary,Elementary,6.7,,<= 5.0,*,<= 5.0,*,476.6,20120327
2007,02,Anne Arundel,2072,Benfield Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20120327
2007,02,Anne Arundel,2082,Bodkin Elementary,Elementary,>= 95.0,*,>= 95.0,*,<= 5.0,*,*,20120327
2007,02,Anne Arundel,2092,Cape St. Claire Elementary,Elementary,7.6,,<= 5.0,*,<= 5.0,*,660.8,20120327
2007,02,Anne Arundel,2102,Folger McKinsey Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20120327
2007,02,Anne Arundel,2112,Fort Smallwood Elementary,Elementary,7.4,,5.2,19,<= 5.0,*,363.2,20120327
2007,02,Anne Arundel,2132,High Point Elementary,Elementary,13.1,,7.5,45,5.7,34,601.0,20120327
2007,02,Anne Arundel,2142,Jacobsville Elementary,Elementary,13.2,,7.7,39,5.5,28,508.6,20120327
2007,02,Anne Arundel,2152,Jones Elementary,Elementary,7.9,,<= 5.0,*,5.6,17,304.7,20120327
2007,02,Anne Arundel,2162,Lake Shore Elementary,Elementary,11.7,,7.8,24,<= 5.0,*,307.0,20120327
2007,02,Anne Arundel,2172,Oak Hill Elementary,Elementary,7.1,,<= 5.0,*,<= 5.0,*,437.6,20120327
2007,02,Anne Arundel,2182,Pasadena Elementary,Elementary,12.5,,5.9,19,6.5,21,321.1,20120327
2007,02,Anne Arundel,2192,Riviera Beach Elementary,Elementary,16.0,,9.5,25,6.5,17,262.5,20120327
2007,02,Anne Arundel,2202,Severna Park Elementary,Elementary,6.8,,5.1,15,<= 5.0,*,295.6,20120327
2007,02,Anne Arundel,2212,Solley Elementary,Elementary,14.0,,8.1,45,5.9,33,558.3,20120327
2007,02,Anne Arundel,2222,Sunset Elementary,Elementary,8.4,,5.8,27,<= 5.0,*,463.6,20120327
2007,02,Anne Arundel,2233,Severna Park Evening High,High,>= 95.0,*,>= 95.0,*,>= 95.0,*,*,20120327
2007,02,Anne Arundel,2243,Magothy River Middle,Middle,>= 95.0,*,>= 95.0,*,<= 5.0,*,*,20120327
2007,02,Anne Arundel,2273,Chesapeake Sr. High,High,14.8,,5.7,107,9.0,168,1864.0,20120327
2007,02,Anne Arundel,2322,Broadneck Elementary,Elementary,6.7,,<= 5.0,*,<= 5.0,*,613.1,20120327
