Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Pct,Mobility Cnt,Entrants Pct,Entrants Cnt,Withdrawals Pct,Withdrawals Cnt,Avg Daily Member Cnt,Create Date
2009,01,Allegany,0301,Flintstone Elementary,Elementary,18.2,41,9.8,22,8.4,19,225.6,20111104
2009,01,Allegany,0401,South Penn Elementary,Elementary,21.8,95,11.2,49,10.6,46,435.6,20111104
2009,01,Allegany,0402,John Humbird Elementary,Elementary,34.1,103,17.9,54,16.2,49,302.1,20111104
2009,01,Allegany,0405,Fort Hill High,High,21.8,205,9.7,91,12.1,114,940.3,20111104
2009,01,Allegany,0406,Washington Middle,Middle,20.6,140,10.0,68,10.6,72,678.3,20111104
2009,01,Allegany,0502,Northeast Elementary,Elementary,13.6,44,8.1,26,5.6,18,322.4,20111104
2009,01,Allegany,0504,Braddock Middle,Middle,18.4,111,9.4,57,8.9,54,603.4,20111104
2009,01,Allegany,0602,Allegany County Evening High School,High,*,*,*,*,*,*,*,20111104
2009,01,Allegany,0603,West Side Elementary,Elementary,33.3,85,18.4,47,14.9,38,255.4,20111104
2009,01,Allegany,0606,Allegany High,High,20.8,180,10.2,88,10.6,92,864.3,20111104
2009,01,Allegany,0701,Cresaptown Elementary,Elementary,9.3,30,5.6,18,<= 5.0,*,323.8,20111104
2009,01,Allegany,0702,Bel Air Elementary,Elementary,17.9,39,9.6,21,8.3,18,217.9,20111104
2009,01,Allegany,0801,Westernport Elementary,Elementary,17.3,40,11.2,26,6.0,14,231.9,20111104
2009,01,Allegany,0802,Westmar Middle,Middle,13.3,39,5.8,17,7.5,22,292.6,20111104
2009,01,Allegany,1001,George's Creek Elementary,Elementary,10.8,34,6.0,19,<= 5.0,*,315.1,20111104
2009,01,Allegany,1101,Frost Elementary,Elementary,9.1,20,<= 5.0,*,<= 5.0,*,218.9,20111104
2009,01,Allegany,1301,Mount Savage Middle,Middle,8.9,38,<= 5.0,*,<= 5.0,*,424.8,20111104
2009,01,Allegany,1302,Mt. Savage Elementary,Elementary,12.9,33,8.6,22,<= 5.0,*,255.0,20111104
2009,01,Allegany,2404,Mountain Ridge High School,High,15.8,161,5.8,59,10.0,102,1020.1,20111104
2009,01,Allegany,2801,Beall Elementary,Elementary,17.0,50,8.5,25,8.5,25,293.9,20111104
2009,01,Allegany,2901,Cash Valley Elementary,Elementary,20.6,52,10.7,27,9.9,25,252.0,20111104
2009,01,Allegany,2902,Parkside Elementary,Elementary,24.6,55,10.7,24,13.8,31,223.9,20111104
2009,01,Allegany,5555,Transition Program at Frostburg,High,*,*,*,*,*,*,*,20111104
2009,01,Allegany,5556,Transition Program at Cumberland,High,*,*,*,*,*,*,*,20111104
2009,01,Allegany,5557,Transition Program at Friends Aware,High,*,*,*,*,*,*,*,20111104
2009,01,Allegany,A,All Allegany Schools,Elementary,18.9,734,10.2,397,8.7,337,3876.2,20111104
2009,01,Allegany,A,All Allegany Schools,Middle,16.9,337,8.4,168,8.5,169,1998.9,20111104
2009,01,Allegany,A,All Allegany Schools,High,21.1,601,9.5,271,11.6,330,2854.8,20111104
2009,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,18.6,88,9.5,45,9.1,43,473.6,20111104
2009,02,Anne Arundel,1033,Glen Burnie High,High,23.4,449,10.9,209,12.5,240,1916.6,20111104
2009,02,Anne Arundel,1043,Corkran Middle School,Middle,22.5,152,12.0,81,10.5,71,676.6,20111104
2009,02,Anne Arundel,1053,Lindale Middle,Middle,21.5,174,12.9,104,8.7,70,809.1,20111104
2009,02,Anne Arundel,1063,Marley Middle,Middle,21.4,172,13.3,107,8.1,65,803.4,20111104
2009,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,35.6,62,20.1,35,15.5,27,174.2,20111104
2009,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,19.0,65,11.4,39,7.6,26,342.8,20111104
2009,02,Anne Arundel,1112,George T. Cromwell Elementary,Elementary,14.9,39,9.6,25,5.4,14,261.4,20111104
2009,02,Anne Arundel,1122,Freetown Elementary,Elementary,16.3,61,7.7,29,8.5,32,374.5,20111104
2009,02,Anne Arundel,1132,Glendale Elementary,Elementary,24.7,109,16.1,71,8.6,38,440.6,20111104
2009,02,Anne Arundel,1142,Hilltop Elementary,Elementary,26.0,140,15.6,84,10.4,56,538.3,20111104
2009,02,Anne Arundel,1152,Linthicum Elementary,Elementary,8.7,34,5.1,20,<= 5.0,*,392.5,20111104
2009,02,Anne Arundel,1162,Marley Elementary,Elementary,20.6,89,12.9,56,7.6,33,433.0,20111104
2009,02,Anne Arundel,1172,North Glen Elementary,Elementary,20.6,44,9.4,20,11.2,24,213.4,20111104
2009,02,Anne Arundel,1182,Oakwood Elementary,Elementary,28.2,61,15.2,33,12.9,28,216.7,20111104
2009,02,Anne Arundel,1192,Overlook Elementary,Elementary,23.1,50,12.9,28,10.1,22,216.8,20111104
2009,02,Anne Arundel,1202,Park Elementary,Elementary,35.2,118,19.1,64,16.1,54,335.7,20111104
2009,02,Anne Arundel,1212,Point Pleasant Elementary,Elementary,21.9,109,12.7,63,9.2,46,498.0,20111104
2009,02,Anne Arundel,1232,Quarterfield Elementary,Elementary,20.0,79,10.6,42,9.4,37,394.6,20111104
2009,02,Anne Arundel,1242,Richard Henry Lee Elementary,Elementary,23.7,116,12.3,60,11.4,56,489.8,20111104
2009,02,Anne Arundel,1262,Woodside Elementary,Elementary,22.1,61,11.9,33,10.1,28,276.5,20111104
2009,02,Anne Arundel,1274,Marley Special Glen School,Elementary,11.0,3,7.3,2,<= 5.0,*,27.3,20111104
2009,02,Anne Arundel,1274,Marley Special Glen School,Middle,*,*,*,*,*,*,*,20111104
2009,02,Anne Arundel,1274,Marley Special Glen School,High,22.2,6,22.2,6,<= 5.0,*,27.0,20111104
2009,02,Anne Arundel,1313,Glen Burnie Evening High,High,>= 95.0,*,>= 95.0,*,78.7,71,90.2,20111104
2009,02,Anne Arundel,1323,North County High,High,19.8,372,9.3,175,10.5,197,1878.7,20111104
2009,02,Anne Arundel,2013,Severna Park High,High,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20111104
2009,02,Anne Arundel,2023,Northeast High,High,13.8,180,6.3,82,7.5,98,1305.1,20111104
2009,02,Anne Arundel,2033,George Fox Middle,Middle,14.0,111,7.8,62,6.2,49,792.2,20111104
2009,02,Anne Arundel,2043,Severna Park Middle,Middle,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20111104
2009,02,Anne Arundel,2052,Arnold Elementary,Elementary,7.3,33,<= 5.0,*,<= 5.0,*,453.9,20111104
2009,02,Anne Arundel,2062,Belvedere Elementary,Elementary,11.2,51,6.6,30,<= 5.0,*,457.2,20111104
2009,02,Anne Arundel,2072,Benfield Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20111104
2009,02,Anne Arundel,2082,Bodkin Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20111104
2009,02,Anne Arundel,2092,Cape St. Claire Elementary,Elementary,9.4,65,5.5,38,<= 5.0,*,689.3,20111104
2009,02,Anne Arundel,2102,Folger McKinsey Elementary,Elementary,6.6,40,<= 5.0,*,<= 5.0,*,602.5,20111104
2009,02,Anne Arundel,2112,Fort Smallwood Elementary,Elementary,5.3,20,<= 5.0,*,<= 5.0,*,375.7,20111104
2009,02,Anne Arundel,2132,High Point Elementary,Elementary,14.3,91,7.1,45,7.2,46,637.7,20111104
2009,02,Anne Arundel,2142,Jacobsville Elementary,Elementary,11.0,57,<= 5.0,*,6.0,31,518.1,20111104
2009,02,Anne Arundel,2152,Jones Elementary,Elementary,12.1,39,6.5,21,5.6,18,322.3,20111104
2009,02,Anne Arundel,2162,Lake Shore Elementary at Chesapeake Bay,Elementary,8.9,27,<= 5.0,*,6.6,20,304.0,20111104
2009,02,Anne Arundel,2172,Oak Hill Elementary,Elementary,6.2,30,<= 5.0,*,<= 5.0,*,483.0,20111104
2009,02,Anne Arundel,2182,Pasadena Elementary,Elementary,9.2,32,<= 5.0,*,<= 5.0,*,347.3,20111104
2009,02,Anne Arundel,2192,Riviera Beach Elementary,Elementary,11.9,29,5.3,13,6.6,16,243.0,20111104
2009,02,Anne Arundel,2202,Severna Park Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20111104
2009,02,Anne Arundel,2212,Solley Elementary,Elementary,14.3,77,8.4,45,6.0,32,537.5,20111104
