Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Create Date
2007,01,Allegany,0301,Flintstone Elementary,Elementary,>= 95.0,*,*,31.9,60,<= 5.0,*,188,20120820
2007,01,Allegany,0401,South Penn Elementary,Elementary,>= 95.0,*,*,32.5,120,7.6,28,369,20120820
2007,01,Allegany,0402,John Humbird Elementary,Elementary,>= 95.0,*,*,30.6,79,6.2,16,258,20120820
2007,01,Allegany,0405,Fort Hill High,High,92.5,129346.0,139897,25.4,270,16.1,171,1063,20120820
2007,01,Allegany,0406,Washington Middle,Middle,94.2,85326.0,90541,25.3,177,11.3,79,699,20120820
2007,01,Allegany,0502,Northeast Elementary,Elementary,>= 95.0,*,*,41.2,105,<= 5.0,*,255,20120820
2007,01,Allegany,0504,Braddock Middle,Middle,94.8,79762.0,84177,32.8,211,10.9,70,644,20120820
2007,01,Allegany,0602,Allegany County Evening High School,High,*,*,*,*,*,*,*,*,20120820
2007,01,Allegany,0603,West Side Elementary,Elementary,>= 95.0,*,*,35.1,74,5.7,12,211,20120820
2007,01,Allegany,0606,Allegany High,High,92.9,106831.0,114991,25.8,227,15.2,134,880,20120820
2007,01,Allegany,0701,Cresaptown Elementary,Elementary,>= 95.0,*,*,48.4,132,<= 5.0,*,273,20120820
2007,01,Allegany,0702,Bel Air Elementary,Elementary,>= 95.0,*,*,40.8,73,<= 5.0,*,179,20120820
2007,01,Allegany,0801,Westernport Elementary,Elementary,>= 95.0,*,*,34.0,67,5.1,10,197,20120820
2007,01,Allegany,0802,Westmar Middle,Middle,>= 95.0,*,*,30.7,95,5.2,16,309,20120820
2007,01,Allegany,1001,George's Creek Elementary,Elementary,>= 95.0,*,*,33.7,93,5.8,16,276,20120820
2007,01,Allegany,1002,Westmar High,High,93.0,54473.5,58601,23.3,104,15.0,67,447,20120820
2007,01,Allegany,1101,Frost Elementary,Elementary,>= 95.0,*,*,34.4,67,<= 5.0,*,195,20120820
2007,01,Allegany,1301,Mount Savage Middle,Middle,>= 95.0,*,*,40.7,174,<= 5.0,*,427,20120820
2007,01,Allegany,1302,Mt. Savage Elementary,Elementary,>= 95.0,*,*,49.1,104,<= 5.0,*,212,20120820
2007,01,Allegany,2402,Beall High,High,93.8,79219.0,84495,27.9,180,11.5,74,646,20120820
2007,01,Allegany,2801,Beall Elementary,Elementary,>= 95.0,*,*,39.2,96,<= 5.0,*,245,20120820
2007,01,Allegany,2901,Cash Valley Elementary,Elementary,>= 95.0,*,*,34.1,63,5.4,10,185,20120820
2007,01,Allegany,2902,Parkside Elementary,Elementary,>= 95.0,*,*,35.3,76,7.0,15,215,20120820
2007,01,Allegany,7777,Allegany County Home & Hospital,Elementary,*,*,*,*,*,*,*,*,20120820
2007,01,Allegany,7777,Allegany County Home & Hospital,Middle,*,*,*,*,*,*,*,*,20120820
2007,01,Allegany,7777,Allegany County Home & Hospital,High,*,*,*,*,*,*,*,*,20120820
2007,01,Allegany,A,All Allegany Schools,Elementary,>= 95.0,*,*,36.7,1200,<= 5.0,*,3273,20120820
2007,01,Allegany,A,All Allegany Schools,Middle,94.9,255868.0,269599,31.5,657,9.1,189,2084,20120820
2007,01,Allegany,A,All Allegany Schools,High,92.9,371569.5,399817,25.7,782,15.1,460,3046,20120820
2007,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,93.3,62484.5,67005,29.9,167,17.0,95,559,20120820
2007,02,Anne Arundel,1033,Glen Burnie Senior,High,90.1,225547.5,250377,25.0,524,28.2,590,2094,20120820
2007,02,Anne Arundel,1043,Corkran Middle School,Middle,94.0,80176.5,85276,33.5,241,12.9,93,720,20120820
2007,02,Anne Arundel,1053,Lindale Middle,Middle,93.9,96465.0,102782,32.5,281,13.5,117,864,20120820
2007,02,Anne Arundel,1063,Marley Middle,Middle,93.5,90542.0,96821,29.0,244,17.6,148,840,20120820
2007,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,93.2,15099.0,16199,26.8,37,15.2,21,138,20120820
2007,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,>= 95.0,*,*,40.6,115,7.1,20,283,20120820
2007,02,Anne Arundel,1102,Ferndale Early Childhood Center,Elementary,*,*,*,*,*,*,*,*,20120820
2007,02,Anne Arundel,1112,George Cromwell Elementary,Elementary,>= 95.0,*,*,36.2,93,5.4,14,257,20120820
2007,02,Anne Arundel,1122,Freetown Elementary,Elementary,>= 95.0,*,*,43.9,125,13.3,38,285,20120820
2007,02,Anne Arundel,1132,Glendale Elementary,Elementary,>= 95.0,*,*,33.8,127,8.0,30,376,20120820
2007,02,Anne Arundel,1142,Hilltop Elementary,Elementary,>= 95.0,*,*,39.7,171,5.8,25,431,20120820
2007,02,Anne Arundel,1152,Linthicum Elementary,Elementary,>= 95.0,*,*,44.5,150,5.6,19,337,20120820
2007,02,Anne Arundel,1162,Marley Elementary,Elementary,>= 95.0,*,*,38.2,145,6.6,25,380,20120820
2007,02,Anne Arundel,1172,North Glen Elementary,Elementary,>= 95.0,*,*,39.1,63,<= 5.0,*,161,20120820
2007,02,Anne Arundel,1182,Oakwood Elementary,Elementary,>= 95.0,*,*,50.0,88,<= 5.0,*,176,20120820
2007,02,Anne Arundel,1192,Overlook Elementary,Elementary,>= 95.0,*,*,45.2,84,<= 5.0,*,186,20120820
2007,02,Anne Arundel,1202,Park Elementary,Elementary,>= 95.0,*,*,41.1,125,11.5,35,304,20120820
2007,02,Anne Arundel,1212,Point Pleasant Elementary,Elementary,>= 95.0,*,*,32.8,133,7.2,29,405,20120820
2007,02,Anne Arundel,1232,Quarterfield Elementary,Elementary,>= 95.0,*,*,44.2,145,6.4,21,328,20120820
2007,02,Anne Arundel,1242,Richard Henry Lee Elementary,Elementary,>= 95.0,*,*,28.9,116,7.2,29,402,20120820
2007,02,Anne Arundel,1262,Woodside Elementary,Elementary,>= 95.0,*,*,30.0,63,8.1,17,210,20120820
2007,02,Anne Arundel,1274,Marley Glen School,Elementary,88.1,2849.5,3234,11.1,3,22.2,6,27,20120820
2007,02,Anne Arundel,1274,Marley Glen School,Middle,90.3,1473.5,1631,25.0,3,33.3,4,12,20120820
2007,02,Anne Arundel,1274,Marley Glen School,High,93.1,1878.0,2017,55.6,10,27.8,5,18,20120820
2007,02,Anne Arundel,1313,Glen Burnie Evening High,High,89.3,6233.0,6978,35.3,12,8.8,3,34,20120820
2007,02,Anne Arundel,1323,North County High,High,90.9,208358.5,229119,23.8,459,26.7,514,1926,20120820
2007,02,Anne Arundel,2013,Severna Park Sr High,High,>= 95.0,*,*,36.6,682,8.8,164,1863,20120820
2007,02,Anne Arundel,2023,Northeast Sr High,High,92.4,158250.0,171175,31.1,450,18.9,274,1447,20120820
2007,02,Anne Arundel,2033,George Fox Middle,Middle,94.6,90108.5,95280,29.9,240,12.6,101,803,20120820
2007,02,Anne Arundel,2043,Severna Park Middle,Middle,>= 95.0,*,*,48.4,671,<= 5.0,*,1385,20120820
2007,02,Anne Arundel,2052,Arnold Elementary,Elementary,>= 95.0,*,*,39.2,146,<= 5.0,*,372,20120820
2007,02,Anne Arundel,2062,Belvedere Elementary,Elementary,>= 95.0,*,*,46.3,180,<= 5.0,*,389,20120820
2007,02,Anne Arundel,2072,Benfield Elementary,Elementary,>= 95.0,*,*,53.1,213,<= 5.0,*,401,20120820
2007,02,Anne Arundel,2082,Bodkin Elementary,Elementary,>= 95.0,*,*,45.5,228,<= 5.0,*,501,20120820
2007,02,Anne Arundel,2092,Cape St. Claire Elementary,Elementary,>= 95.0,*,*,39.7,225,<= 5.0,*,567,20120820
2007,02,Anne Arundel,2102,Folger McKinsey Elementary,Elementary,>= 95.0,*,*,52.9,274,<= 5.0,*,518,20120820
2007,02,Anne Arundel,2112,Fort Smallwood Elementary,Elementary,>= 95.0,*,*,39.6,125,<= 5.0,*,316,20120820
2007,02,Anne Arundel,2132,High Point Elementary,Elementary,>= 95.0,*,*,34.7,174,<= 5.0,*,502,20120820
2007,02,Anne Arundel,2142,Jacobsville Elementary,Elementary,>= 95.0,*,*,43.6,188,<= 5.0,*,431,20120820
2007,02,Anne Arundel,2152,Jones Elementary,Elementary,>= 95.0,*,*,47.5,124,6.1,16,261,20120820
2007,02,Anne Arundel,2162,Lake Shore Elementary,Elementary,>= 95.0,*,*,36.3,95,5.7,15,262,20120820
2007,02,Anne Arundel,2172,Oak Hill Elementary,Elementary,>= 95.0,*,*,54.1,200,<= 5.0,*,370,20120820
2007,02,Anne Arundel,2182,Pasadena Elementary,Elementary,>= 95.0,*,*,32.6,90,<= 5.0,*,276,20120820
2007,02,Anne Arundel,2192,Riviera Beach Elementary,Elementary,94.9,23590.0,24850,28.9,61,7.1,15,211,20120820
2007,02,Anne Arundel,2202,Severna Park Elementary,Elementary,>= 95.0,*,*,42.2,105,<= 5.0,*,249,20120820
2007,02,Anne Arundel,2212,Solley Elementary,Elementary,>= 95.0,*,*,37.5,179,<= 5.0,*,477,20120820
2007,02,Anne Arundel,2222,Sunset Elementary,Elementary,>= 95.0,*,*,36.2,144,<= 5.0,*,398,20120820
2007,02,Anne Arundel,2233,Severna Park Evening High,High,91.4,2797.5,3060,*,*,*,*,*,20120820
2007,02,Anne Arundel,2243,Magothy River Middle,Middle,>= 95.0,*,*,40.7,317,5.9,46,779,20120820
2007,02,Anne Arundel,2273,Chesapeake Sr. High,High,92.8,204244.0,220067,28.9,536,16.9,314,1855,20120820
2007,02,Anne Arundel,2322,Broadneck Elementary,Elementary,>= 95.0,*,*,46.6,249,<= 5.0,*,534,20120820
2007,02,Anne Arundel,2363,Broadneck Senior High,High,94.5,243849.5,258095,33.7,732,12.3,267,2175,20120820
2007,02,Anne Arundel,2372,Windsor Farm Elementary,Elementary,>= 95.0,*,*,50.6,216,<= 5.0,*,427,20120820
2007,02,Anne Arundel,2413,Severn River Middle,Middle,>= 95.0,*,*,42.1,343,5.4,44,814,20120820
2007,02,Anne Arundel,2423,Chesapeake Bay Middle,Middle,94.4,153279.0,162310,32.3,445,10.2,140,1378,20120820
2007,02,Anne Arundel,2432,Shipley's Choice Elementary,Elementary,>= 95.0,*,*,58.5,233,<= 5.0,*,398,20120820
2007,02,Anne Arundel,3013,Arundel Sr. High,High,94.0,230679.0,245452,32.8,677,13.1,271,2065,20120820
2007,02,Anne Arundel,3023,Arundel Middle,Middle,>= 95.0,*,*,31.3,316,10.9,110,1011,20120820
2007,02,Anne Arundel,3033,MacArthur Middle,Middle,93.9,116503.5,124112,27.2,285,15.1,158,1047,20120820
2007,02,Anne Arundel,3062,Brock Bridge Elementary,Elementary,>= 95.0,*,*,42.4,223,<= 5.0,*,526,20120820
2007,02,Anne Arundel,3072,Crofton Elementary,Elementary,>= 95.0,*,*,45.9,293,<= 5.0,*,639,20120820
2007,02,Anne Arundel,3082,Crofton Woods Elementary,Elementary,>= 95.0,*,*,44.1,207,<= 5.0,*,469,20120820
2007,02,Anne Arundel,3102,Harman Elementary at Meade Heights,Elementary,94.8,40138.0,42352,37.5,135,14.7,53,360,20120820
2007,02,Anne Arundel,3112,Jessup Elementary,Elementary,>= 95.0,*,*,37.7,149,10.4,41,395,20120820
2007,02,Anne Arundel,3122,Manor View Elementary,Elementary,>= 95.0,*,*,39.4,157,<= 5.0,*,398,20120820
2007,02,Anne Arundel,3132,Maryland City Elementary,Elementary,>= 95.0,*,*,37.2,80,<= 5.0,*,215,20120820
2007,02,Anne Arundel,3142,Meade Heights Elementary at Seven Oaks,Elementary,>= 95.0,*,*,52.5,301,<= 5.0,*,573,20120820
2007,02,Anne Arundel,3152,Van Bokkelen Elementary,Elementary,93.4,31872.0,34107,29.0,85,14.7,43,293,20120820
2007,02,Anne Arundel,3162,Millersville Elementary,Elementary,>= 95.0,*,*,38.9,128,7.0,23,329,20120820
2007,02,Anne Arundel,3172,Odenton Elementary,Elementary,>= 95.0,*,*,39.2,124,5.1,16,316,20120820
2007,02,Anne Arundel,3182,Pershing Hill Elementary,Elementary,>= 95.0,*,*,41.2,73,<= 5.0,*,177,20120820
2007,02,Anne Arundel,3192,Ridgeway Elementary,Elementary,>= 95.0,*,*,45.6,211,<= 5.0,*,463,20120820
2007,02,Anne Arundel,3202,Severn Elementary,Elementary,>= 95.0,*,*,47.8,176,<= 5.0,*,368,20120820
2007,02,Anne Arundel,3212,South Shore Elementary,Elementary,>= 95.0,*,*,54.8,103,<= 5.0,*,188,20120820
2007,02,Anne Arundel,3222,Waugh Chapel Elementary,Elementary,>= 95.0,*,*,50.8,168,6.3,21,331,20120820
2007,02,Anne Arundel,3232,West Meade Elementary,Elementary,>= 95.0,*,*,38.3,93,<= 5.0,*,243,20120820
2007,02,Anne Arundel,3242,Piney Orchard Elementary,Elementary,>= 95.0,*,*,46.0,262,<= 5.0,*,570,20120820
2007,02,Anne Arundel,3263,Crofton Middle,Middle,>= 95.0,*,*,48.6,441,<= 5.0,*,908,20120820
2007,02,Anne Arundel,3272,Four Seasons Elementary,Elementary,>= 95.0,*,*,37.3,211,<= 5.0,*,566,20120820
2007,02,Anne Arundel,3323,Meade Senior High,High,91.4,188682.5,206529,26.9,467,24.8,430,1736,20120820
2007,02,Anne Arundel,3333,Old Mill Middle North,Middle,94.9,96570.5,101782,37.6,325,10.5,91,865,20120820
2007,02,Anne Arundel,3343,Old Mill Middle South,Middle,>= 95.0,*,*,43.1,328,7.0,53,761,20120820
2007,02,Anne Arundel,3353,Old Mill Senior High,High,92.9,288929.5,310879,32.4,844,16.8,438,2605,20120820
2007,02,Anne Arundel,3362,Crofton Meadows Elementary,Elementary,>= 95.0,*,*,46.2,174,<= 5.0,*,377,20120820
2007,02,Anne Arundel,3372,Glen Burnie Park Elementary,Elementary,>= 95.0,*,*,47.8,129,5.2,14,270,20120820
2007,02,Anne Arundel,3382,Southgate Elementary,Elementary,>= 95.0,*,*,41.4,171,<= 5.0,*,413,20120820
2007,02,Anne Arundel,3392,Rippling Woods Elementary,Elementary,>= 95.0,*,*,39.7,213,5.6,30,536,20120820
