Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Create Date
2006,01,Allegany,0301,Flintstone Elementary,Elementary,94.8,23660.5,24950,23.2,43,5.9,11,185,20120820
2006,01,Allegany,0401,South Penn Elementary,Elementary,94.8,48206.5,50850,30.6,116,7.4,28,379,20120820
2006,01,Allegany,0402,John Humbird Elementary,Elementary,94.3,32414.0,34390,28.2,71,8.7,22,252,20120820
2006,01,Allegany,0405,Fort Hill High,High,92.2,134451.5,145804,26.5,284,15.5,166,1073,20120820
2006,01,Allegany,0406,Washington Middle,Middle,93.4,93112.0,99666,23.8,175,13.5,99,736,20120820
2006,01,Allegany,0502,Northeast Elementary,Elementary,>= 95.0,*,*,36.7,92,<= 5.0,*,251,20120820
2006,01,Allegany,0504,Braddock Middle,Middle,94.7,85976.5,90813,31.8,214,8.6,58,673,20120820
2006,01,Allegany,0601,Center For Career & Technology Education,High,*,*,*,*,*,*,*,*,20120820
2006,01,Allegany,0602,Allegany County Evening High School,High,*,*,*,*,*,*,*,*,20120820
2006,01,Allegany,0603,West Side Elementary,Elementary,94.8,27991.5,29516,34.4,74,8.8,19,215,20120820
2006,01,Allegany,0606,Allegany High,High,93.4,115569.5,123732,30.9,279,13.7,124,904,20120820
2006,01,Allegany,0701,Cresaptown Elementary,Elementary,>= 95.0,*,*,36.1,100,<= 5.0,*,277,20120820
2006,01,Allegany,0702,Bel Air Elementary,Elementary,>= 95.0,*,*,35.6,67,<= 5.0,*,188,20120820
2006,01,Allegany,0801,Westernport Elementary,Elementary,>= 95.0,*,*,25.9,56,5.6,12,216,20120820
2006,01,Allegany,0802,Westmar Middle,Middle,94.5,39999.0,42326,23.8,75,6.3,20,315,20120820
2006,01,Allegany,1001,George's Creek Elementary,Elementary,>= 95.0,*,*,37.0,97,<= 5.0,*,262,20120820
2006,01,Allegany,1002,Westmar High,High,92.7,55781.0,60198,22.3,100,13.2,59,448,20120820
2006,01,Allegany,1101,Frost Elementary,Elementary,>= 95.0,*,*,35.9,69,<= 5.0,*,192,20120820
2006,01,Allegany,1301,Mount Savage Middle,Middle,94.9,56037.0,59054,32.8,144,6.2,27,439,20120820
2006,01,Allegany,1302,Mt. Savage Elementary,Elementary,>= 95.0,*,*,34.3,80,<= 5.0,*,233,20120820
2006,01,Allegany,2402,Beall High,High,93.7,85377.5,91087,27.7,189,11.4,78,683,20120820
2006,01,Allegany,2801,Beall Elementary,Elementary,>= 95.0,*,*,34.0,73,<= 5.0,*,215,20120820
2006,01,Allegany,2901,Cash Valley Elementary,Elementary,>= 95.0,*,*,30.9,60,<= 5.0,*,194,20120820
2006,01,Allegany,2902,Parkside Elementary,Elementary,>= 95.0,*,*,38.3,85,6.8,15,222,20120820
2006,01,Allegany,5555,Transition Program at Frostburg,High,*,*,*,*,*,*,*,*,20120820
2006,01,Allegany,5556,Transition Program at Cumberland,High,*,*,*,*,*,*,*,*,20120820
2006,01,Allegany,7777,Allegany County Home & Hospital,High,>= 95.0,*,*,>= 95.0,*,<= 5.0,*,10,20120820
2006,01,Allegany,A,All Allegany Schools,Elementary,>= 95.0,*,*,32.5,1067,<= 5.0,*,3282,20120820
2006,01,Allegany,A,All Allegany Schools,Middle,94.3,275227.5,291962,28.1,608,9.8,211,2164,20120820
2006,01,Allegany,A,All Allegany Schools,High,93.0,397280.5,427238,27.5,859,13.9,436,3126,20120820
2006,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,93.4,64187.5,68710,25.0,142,18.2,103,567,20120820
2006,02,Anne Arundel,1033,Glen Burnie Senior,High,91.0,232124.5,255201,21.1,439,26.4,549,2080,20120820
2006,02,Anne Arundel,1043,Corkran Middle School,Middle,94.5,85839.5,90875,36.6,274,11.5,86,749,20120820
2006,02,Anne Arundel,1053,Lindale Middle,Middle,93.8,107446.5,114518,28.9,271,14.9,140,939,20120820
2006,02,Anne Arundel,1063,Marley Middle,Middle,92.8,92826.0,100027,28.4,232,19.6,160,818,20120820
2006,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,93.2,14830.0,15904,29.5,38,15.5,20,129,20120820
2006,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,>= 95.0,*,*,34.0,99,9.6,28,291,20120820
2006,02,Anne Arundel,1112,George Cromwell Elementary,Elementary,>= 95.0,*,*,30.6,85,9.0,25,278,20120820
2006,02,Anne Arundel,1122,Freetown Elementary,Elementary,>= 95.0,*,*,38.1,101,8.7,23,265,20120820
2006,02,Anne Arundel,1132,Glendale Elementary,Elementary,94.9,42555.0,44848,30.8,115,9.4,35,373,20120820
2006,02,Anne Arundel,1142,Hilltop Elementary,Elementary,>= 95.0,*,*,36.3,159,7.5,33,438,20120820
2006,02,Anne Arundel,1152,Linthicum Elementary,Elementary,>= 95.0,*,*,48.4,162,<= 5.0,*,335,20120820
2006,02,Anne Arundel,1162,Marley Elementary,Elementary,>= 95.0,*,*,36.2,133,8.4,31,367,20120820
2006,02,Anne Arundel,1172,North Glen Elementary,Elementary,>= 95.0,*,*,36.4,63,6.4,11,173,20120820
2006,02,Anne Arundel,1182,Oakwood Elementary,Elementary,>= 95.0,*,*,40.7,66,5.6,9,162,20120820
2006,02,Anne Arundel,1192,Overlook Elementary,Elementary,>= 95.0,*,*,31.3,66,7.6,16,211,20120820
2006,02,Anne Arundel,1202,Park Elementary,Elementary,>= 95.0,*,*,36.2,111,7.2,22,307,20120820
2006,02,Anne Arundel,1212,Point Pleasant Elementary,Elementary,94.4,47636.5,50451,27.2,113,11.1,46,415,20120820
2006,02,Anne Arundel,1232,Quarterfield Elementary,Elementary,>= 95.0,*,*,33.0,111,5.7,19,336,20120820
2006,02,Anne Arundel,1242,Richard Henry Lee Elementary,Elementary,>= 95.0,*,*,32.1,125,8.0,31,389,20120820
2006,02,Anne Arundel,1262,Woodside Elementary,Elementary,94.7,22391.0,23635,32.1,62,11.4,22,193,20120820
2006,02,Anne Arundel,1274,Marley Glen School,Elementary,84.1,2870.0,3412,7.7,2,42.3,11,26,20120820
2006,02,Anne Arundel,1274,Marley Glen School,Middle,87.9,1149.5,1308,18.2,2,36.4,4,11,20120820
2006,02,Anne Arundel,1274,Marley Glen School,High,86.4,2482.0,2874,13.0,3,30.4,7,23,20120820
2006,02,Anne Arundel,1313,Glen Burnie Evening High,High,88.5,2149.0,2428,*,*,*,*,*,20120820
2006,02,Anne Arundel,1323,North County High,High,89.9,222089.5,247036,20.5,412,27.0,542,2010,20120820
2006,02,Anne Arundel,2013,Severna Park Sr High,High,>= 95.0,*,*,34.8,631,7.9,143,1811,20120820
2006,02,Anne Arundel,2023,Northeast Sr High,High,91.7,163481.0,178233,25.1,365,21.5,313,1455,20120820
2006,02,Anne Arundel,2033,George Fox Middle,Middle,94.2,82747.5,87840,27.4,199,13.6,99,727,20120820
2006,02,Anne Arundel,2043,Severna Park Middle,Middle,>= 95.0,*,*,47.1,651,<= 5.0,*,1382,20120820
2006,02,Anne Arundel,2052,Arnold Elementary,Elementary,>= 95.0,*,*,35.1,125,<= 5.0,*,356,20120820
2006,02,Anne Arundel,2062,Belvedere Elementary,Elementary,>= 95.0,*,*,41.6,170,<= 5.0,*,409,20120820
2006,02,Anne Arundel,2072,Benfield Elementary,Elementary,>= 95.0,*,*,48.2,178,<= 5.0,*,369,20120820
2006,02,Anne Arundel,2082,Bodkin Elementary,Elementary,>= 95.0,*,*,37.0,185,<= 5.0,*,500,20120820
2006,02,Anne Arundel,2092,Cape St. Claire Elementary,Elementary,>= 95.0,*,*,36.3,203,<= 5.0,*,560,20120820
2006,02,Anne Arundel,2102,Folger McKinsey Elementary,Elementary,>= 95.0,*,*,37.7,192,<= 5.0,*,509,20120820
2006,02,Anne Arundel,2112,Fort Smallwood Elementary,Elementary,>= 95.0,*,*,31.9,100,<= 5.0,*,313,20120820
2006,02,Anne Arundel,2132,High Point Elementary,Elementary,>= 95.0,*,*,34.6,165,5.9,28,477,20120820
2006,02,Anne Arundel,2142,Jacobsville Elementary,Elementary,>= 95.0,*,*,33.8,151,7.8,35,447,20120820
2006,02,Anne Arundel,2152,Jones Elementary,Elementary,>= 95.0,*,*,44.2,121,<= 5.0,*,274,20120820
2006,02,Anne Arundel,2162,Lake Shore Elementary,Elementary,>= 95.0,*,*,37.0,97,<= 5.0,*,262,20120820
2006,02,Anne Arundel,2172,Oak Hill Elementary,Elementary,>= 95.0,*,*,41.7,161,<= 5.0,*,386,20120820
2006,02,Anne Arundel,2182,Pasadena Elementary,Elementary,>= 95.0,*,*,36.2,102,<= 5.0,*,282,20120820
2006,02,Anne Arundel,2192,Riviera Beach Elementary,Elementary,94.9,26313.5,27724,30.7,70,9.2,21,228,20120820
2006,02,Anne Arundel,2202,Severna Park Elementary,Elementary,>= 95.0,*,*,37.2,96,<= 5.0,*,258,20120820
2006,02,Anne Arundel,2212,Solley Elementary,Elementary,>= 95.0,*,*,28.4,127,7.4,33,447,20120820
2006,02,Anne Arundel,2222,Sunset Elementary,Elementary,>= 95.0,*,*,38.8,151,<= 5.0,*,389,20120820
2006,02,Anne Arundel,2233,Severna Park Evening High,High,88.3,4301.5,4870,18.8,3,<= 5.0,*,16,20120820
2006,02,Anne Arundel,2243,Magothy River Middle,Middle,>= 95.0,*,*,35.2,263,7.0,52,748,20120820
2006,02,Anne Arundel,2273,Chesapeake Sr. High,High,92.2,208286.5,225792,22.5,417,21.3,395,1851,20120820
2006,02,Anne Arundel,2322,Broadneck Elementary,Elementary,>= 95.0,*,*,46.0,255,<= 5.0,*,554,20120820
2006,02,Anne Arundel,2363,Broadneck Senior High,High,93.6,252717.5,269972,29.7,658,13.3,295,2212,20120820
2006,02,Anne Arundel,2372,Windsor Farm Elementary,Elementary,>= 95.0,*,*,37.6,176,<= 5.0,*,468,20120820
2006,02,Anne Arundel,2413,Severn River Middle,Middle,94.7,91288.5,96349,32.1,258,8.1,65,803,20120820
2006,02,Anne Arundel,2423,Chesapeake Bay Middle,Middle,94.0,174218.0,185363,25.7,394,12.5,192,1533,20120820
2006,02,Anne Arundel,2432,Shipley's Choice Elementary,Elementary,>= 95.0,*,*,46.3,182,<= 5.0,*,393,20120820
2006,02,Anne Arundel,3013,Arundel Sr. High,High,93.7,225588.5,240701,30.2,596,14.2,280,1971,20120820
2006,02,Anne Arundel,3023,Arundel Middle,Middle,94.7,121377.0,128214,28.4,301,11.2,119,1061,20120820
2006,02,Anne Arundel,3033,MacArthur Middle,Middle,93.8,124885.5,133163,28.7,310,13.7,148,1080,20120820
2006,02,Anne Arundel,3062,Brock Bridge Elementary,Elementary,>= 95.0,*,*,42.9,209,5.3,26,487,20120820
2006,02,Anne Arundel,3072,Crofton Elementary,Elementary,>= 95.0,*,*,46.5,293,<= 5.0,*,630,20120820
2006,02,Anne Arundel,3082,Crofton Woods Elementary,Elementary,>= 95.0,*,*,36.0,169,<= 5.0,*,470,20120820
2006,02,Anne Arundel,3102,Harman Elementary at Meade Heights,Elementary,>= 95.0,*,*,35.7,120,9.5,32,336,20120820
2006,02,Anne Arundel,3112,Jessup Elementary,Elementary,>= 95.0,*,*,33.2,137,9.2,38,413,20120820
2006,02,Anne Arundel,3122,Manor View Elementary,Elementary,>= 95.0,*,*,38.1,170,<= 5.0,*,446,20120820
2006,02,Anne Arundel,3132,Maryland City Elementary,Elementary,>= 95.0,*,*,43.6,89,<= 5.0,*,204,20120820
2006,02,Anne Arundel,3142,Meade Heights Elementary at Seven Oaks,Elementary,>= 95.0,*,*,44.1,242,<= 5.0,*,549,20120820
