Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Pct,Mobility Cnt,Entrants Pct,Entrants Cnt,Withdrawals Pct,Withdrawals Cnt,Avg Daily Member Cnt,Create Date
2014,01,Allegany,0301,Flintstone Elementary,Elementary,14.3,30,9.5,20,<= 5.0,*,210.1,20160624
2014,01,Allegany,0401,South Penn Elementary,Elementary,20.6,88,9.8,42,10.8,46,426.8,20160624
2014,01,Allegany,0402,John Humbird Elementary,Elementary,29.4,78,18.4,49,10.9,29,265.7,20160624
2014,01,Allegany,0405,Fort Hill High,High,17.2,129,8.0,60,9.2,69,748.0,20160624
2014,01,Allegany,0406,Washington Middle,Middle,14.2,98,6.8,47,7.4,51,689.4,20160624
2014,01,Allegany,0502,Northeast Elementary,Elementary,23.4,66,9.9,28,13.5,38,281.7,20160624
2014,01,Allegany,0504,Braddock Middle,Middle,12.6,73,6.7,39,5.9,34,578.8,20160624
2014,01,Allegany,0601,Center for Career & Technology Education,High,9.4,28,<= 5.0,*,7.7,23,298.8,20160624
2014,01,Allegany,0603,West Side Elementary,Elementary,23.2,77,10.9,36,12.4,41,331.8,20160624
2014,01,Allegany,0606,Allegany High,High,14.9,99,5.9,39,9.0,60,663.3,20160624
2014,01,Allegany,0701,Cresaptown Elementary,Elementary,19.5,63,10.2,33,9.3,30,323.2,20160624
2014,01,Allegany,0702,Bel Air Elementary,Elementary,15.3,30,7.2,14,8.2,16,195.6,20160624
2014,01,Allegany,0801,Westernport Elementary,Elementary,20.4,49,8.8,21,11.7,28,239.8,20160624
2014,01,Allegany,0802,Westmar Middle,Middle,12.1,34,6.0,17,6.0,17,281.6,20160624
2014,01,Allegany,1001,George's Creek Elementary,Elementary,10.0,28,7.2,20,<= 5.0,*,279.1,20160624
2014,01,Allegany,1101,Frost Elementary,Elementary,7.9,17,<= 5.0,*,<= 5.0,*,216.2,20160624
2014,01,Allegany,1301,Mount Savage Middle,Middle,8.3,33,<= 5.0,*,<= 5.0,*,396.4,20160624
2014,01,Allegany,1302,Mt. Savage Elementary,Elementary,6.5,12,<= 5.0,*,<= 5.0,*,185.6,20160624
2014,01,Allegany,2404,Mountain Ridge High School,High,11.2,93,<= 5.0,*,6.9,57,831.3,20160624
2014,01,Allegany,2801,Beall Elementary,Elementary,12.7,45,6.8,24,5.9,21,354.0,20160624
2014,01,Allegany,2901,Cash Valley Elementary,Elementary,13.3,38,8.1,23,5.3,15,285.7,20160624
2014,01,Allegany,2902,Parkside Elementary,Elementary,27.5,65,14.4,34,13.1,31,236.3,20160624
2014,01,Allegany,A,All Allegany Schools,Elementary,17.9,686,9.3,358,8.6,328,3831.5,20160624
2014,01,Allegany,A,All Allegany Schools,Middle,12.2,238,6.0,116,6.3,122,1946.2,20160624
2014,01,Allegany,A,All Allegany Schools,High,13.7,349,5.5,140,8.2,209,2541.4,20160624
2014,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,17.5,126,7.4,53,10.2,73,718.1,20160624
2014,02,Anne Arundel,1033,Glen Burnie High,High,18.1,341,9.1,172,9.0,169,1887.3,20160624
2014,02,Anne Arundel,1043,Corkran Middle School,Middle,21.0,118,13.0,73,8.0,45,561.3,20160624
2014,02,Anne Arundel,1053,Lindale Middle,Middle,18.2,144,10.9,86,7.3,58,792.3,20160624
2014,02,Anne Arundel,1063,Marley Middle,Middle,16.8,129,9.2,71,7.6,58,767.9,20160624
2014,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,23.1,49,14.6,31,8.5,18,212.3,20160624
2014,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,16.8,61,8.8,32,8.0,29,362.8,20160624
2014,02,Anne Arundel,1112,George T. Cromwell Elementary,Elementary,10.7,34,<= 5.0,*,6.0,19,318.2,20160624
2014,02,Anne Arundel,1122,Freetown Elementary,Elementary,19.8,91,12.2,56,7.6,35,459.0,20160624
2014,02,Anne Arundel,1132,Glendale Elementary,Elementary,15.7,57,7.2,26,8.5,31,363.4,20160624
2014,02,Anne Arundel,1142,Hilltop Elementary,Elementary,23.9,140,11.6,68,12.3,72,586.2,20160624
2014,02,Anne Arundel,1152,Linthicum Elementary,Elementary,11.6,52,5.1,23,6.5,29,447.0,20160624
2014,02,Anne Arundel,1162,Marley Elementary,Elementary,19.8,123,12.1,75,7.7,48,620.3,20160624
2014,02,Anne Arundel,1172,North Glen Elementary,Elementary,23.3,49,16.2,34,7.1,15,210.0,20160624
2014,02,Anne Arundel,1182,Oakwood Elementary,Elementary,17.2,43,8.0,20,9.2,23,250.3,20160624
2014,02,Anne Arundel,1192,Overlook Elementary,Elementary,22.8,65,10.9,31,11.9,34,284.7,20160624
2014,02,Anne Arundel,1202,Park Elementary,Elementary,29.7,128,17.7,76,12.1,52,430.4,20160624
2014,02,Anne Arundel,1212,Point Pleasant Elementary,Elementary,>= 95.0,*,>= 95.0,*,9.8,50,511.4,20160624
2014,02,Anne Arundel,1232,Quarterfield Elementary,Elementary,21.3,77,10.8,39,10.5,38,360.9,20160624
2014,02,Anne Arundel,1242,Richard Henry Lee Elementary,Elementary,18.9,96,11.1,56,7.9,40,506.8,20160624
2014,02,Anne Arundel,1262,Woodside Elementary,Elementary,26.1,75,14.6,42,11.5,33,287.4,20160624
2014,02,Anne Arundel,1274,Marley Glen School,Elementary,19.8,5,15.9,4,<= 5.0,*,25.2,20160624
2014,02,Anne Arundel,1274,Marley Glen School,Middle,*,*,*,*,*,*,*,20160624
2014,02,Anne Arundel,1274,Marley Glen School,High,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20160624
2014,02,Anne Arundel,1323,North County High,High,16.7,308,7.8,144,8.9,164,1849.5,20160624
2014,02,Anne Arundel,2013,Severna Park High,High,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20160624
2014,02,Anne Arundel,2023,Northeast High,High,10.6,141,<= 5.0,*,5.8,77,1330.3,20160624
2014,02,Anne Arundel,2033,George Fox Middle,Middle,13.4,123,6.3,58,7.1,65,921.0,20160624
2014,02,Anne Arundel,2043,Severna Park Middle,Middle,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20160624
2014,02,Anne Arundel,2052,Arnold Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20160624
2014,02,Anne Arundel,2062,Belvedere Elementary,Elementary,6.4,27,<= 5.0,*,<= 5.0,*,423.1,20160624
2014,02,Anne Arundel,2072,Benfield Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20160624
2014,02,Anne Arundel,2082,Bodkin Elementary,Elementary,7.3,43,<= 5.0,*,<= 5.0,*,592.6,20160624
2014,02,Anne Arundel,2092,Cape St. Claire Elementary,Elementary,7.9,53,<= 5.0,*,<= 5.0,*,671.2,20160624
2014,02,Anne Arundel,2102,Folger Mckinsey Elementary,Elementary,5.5,32,<= 5.0,*,<= 5.0,*,582.1,20160624
2014,02,Anne Arundel,2112,Fort Smallwood Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20160624
2014,02,Anne Arundel,2132,High Point Elementary,Elementary,11.4,72,5.2,33,6.2,39,632.5,20160624
2014,02,Anne Arundel,2142,Jacobsville Elementary,Elementary,10.5,59,5.5,31,<= 5.0,*,561.9,20160624
2014,02,Anne Arundel,2152,Jones Elementary,Elementary,6.7,21,<= 5.0,*,<= 5.0,*,315.1,20160624
2014,02,Anne Arundel,2162,Lake Shore Elementary,Elementary,11.2,34,5.3,16,5.9,18,303.2,20160624
2014,02,Anne Arundel,2172,Oak Hill Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20160624
2014,02,Anne Arundel,2182,Pasadena Elementary,Elementary,9.5,33,<= 5.0,*,6.0,21,349.2,20160624
2014,02,Anne Arundel,2192,Riviera Beach Elementary,Elementary,15.1,45,7.0,21,8.0,24,298.7,20160624
2014,02,Anne Arundel,2202,Severna Park Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20160624
2014,02,Anne Arundel,2212,Solley Elementary,Elementary,10.3,71,<= 5.0,*,6.0,41,687.2,20160624
2014,02,Anne Arundel,2222,Sunset Elementary,Elementary,11.0,50,6.8,31,<= 5.0,*,453.3,20160624
2014,02,Anne Arundel,2233,Anne Arundel Evening High,High,>= 95.0,*,>= 95.0,*,45.2,83,183.6,20160624
2014,02,Anne Arundel,2243,Magothy River Middle,Middle,6.7,47,<= 5.0,*,<= 5.0,*,705.1,20160624
2014,02,Anne Arundel,2273,Chesapeake High,High,8.2,122,<= 5.0,*,5.5,82,1488.5,20160624
2014,02,Anne Arundel,2322,Broadneck Elementary,Elementary,8.9,67,<= 5.0,*,<= 5.0,*,750.5,20160624
2014,02,Anne Arundel,2363,Broadneck High,High,6.2,130,<= 5.0,*,<= 5.0,*,2111.1,20160624
2014,02,Anne Arundel,2372,Windsor Farm Elementary,Elementary,11.0,69,6.9,43,<= 5.0,*,624.7,20160624
2014,02,Anne Arundel,2413,Severn River Middle,Middle,>= 95.0,*,>= 95.0,*,<= 5.0,*,*,20160624
2014,02,Anne Arundel,2423,Chesapeake Bay Middle,Middle,8.6,91,<= 5.0,*,<= 5.0,*,1056.0,20160624
2014,02,Anne Arundel,2432,Shipley's Choice Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20160624
2014,02,Anne Arundel,3013,Arundel High,High,9.1,177,<= 5.0,*,<= 5.0,*,1953.7,20160624
2014,02,Anne Arundel,3023,Arundel Middle,Middle,13.9,120,8.0,69,5.9,51,862.1,20160624
2014,02,Anne Arundel,3033,MacArthur Middle,Middle,27.7,277,14.3,143,13.4,134,998.3,20160624
2014,02,Anne Arundel,3062,Brock Bridge Elementary,Elementary,23.2,165,12.7,90,10.5,75,711.1,20160624
2014,02,Anne Arundel,3072,Crofton Elementary,Elementary,8.5,48,5.1,29,<= 5.0,*,564.1,20160624
2014,02,Anne Arundel,3082,Crofton Woods Elementary,Elementary,10.6,66,<= 5.0,*,5.6,35,621.7,20160624
2014,02,Anne Arundel,3092,Seven Oaks Elementary,Elementary,24.4,162,14.7,98,9.6,64,664.8,20160624
2014,02,Anne Arundel,3102,Hebron - Harman Elementary,Elementary,23.9,175,11.9,87,12.0,88,731.5,20160624
2014,02,Anne Arundel,3112,Jessup Elementary,Elementary,18.4,84,11.0,50,7.5,34,455.9,20160624
2014,02,Anne Arundel,3122,Manor View Elementary,Elementary,41.3,126,16.7,51,24.6,75,305.1,20160624
2014,02,Anne Arundel,3132,Maryland City Elementary,Elementary,30.3,120,17.9,71,12.4,49,395.8,20160624
2014,02,Anne Arundel,3142,Meade Heights Elementary,Elementary,42.8,114,23.3,62,19.5,52,266.3,20160624
2014,02,Anne Arundel,3152,Van Bokkelen Elementary,Elementary,33.7,135,17.7,71,16.0,64,401.1,20160624
2014,02,Anne Arundel,3162,Millersville Elementary,Elementary,8.0,32,<= 5.0,*,<= 5.0,*,398.3,20160624
2014,02,Anne Arundel,3172,Odenton Elementary,Elementary,19.5,72,13.3,49,6.2,23,368.7,20160624
2014,02,Anne Arundel,3182,Pershing Hill Elementary,Elementary,44.0,282,19.8,127,24.2,155,641.0,20160624
2014,02,Anne Arundel,3192,Ridgeway Elementary,Elementary,10.2,59,<= 5.0,*,5.9,34,576.0,20160624
2014,02,Anne Arundel,3202,Severn Elementary,Elementary,21.0,91,10.6,46,10.4,45,433.0,20160624
2014,02,Anne Arundel,3212,South Shore Elementary,Elementary,7.9,23,<= 5.0,*,<= 5.0,*,291.6,20160624
2014,02,Anne Arundel,3222,Waugh Chapel Elementary,Elementary,14.3,78,8.2,45,6.0,33,546.0,20160624
2014,02,Anne Arundel,3242,Piney Orchard Elementary,Elementary,11.3,77,5.9,40,5.4,37,681.8,20160624
2014,02,Anne Arundel,3263,Crofton Middle,Middle,9.7,108,<= 5.0,*,<= 5.0,*,1117.8,20160624
2014,02,Anne Arundel,3272,Four Seasons Elementary,Elementary,9.3,46,5.3,26,<= 5.0,*,493.9,20160624
2014,02,Anne Arundel,3282,Nantucket Elementary,Elementary,9.5,78,5.7,47,<= 5.0,*,825.0,20160624
