Academic Year,LSS Number,LSS Name,School Number,School Name,School Type,Mobility Rate,Mobility Count,Entrants Rate,Entrants Count,Withdrawals Rate,Withdrawals Count,Average Daily Member Count,Create Date
2021,01,Allegany,0301,Flintstone Elementary,Elementary,13.7,26,<= 5.0,*,10.0,19,189.4,20220124
2021,01,Allegany,0401,South Penn Elementary,Elementary,11.4,50,<= 5.0,*,8.7,38,437.7,20220124
2021,01,Allegany,0402,John Humbird Elementary,Elementary,12.6,28,6.7,15,5.8,13,222.6,20220124
2021,01,Allegany,0405,Fort Hill High,High,7.8,51,<= 5.0,*,6.0,39,654.7,20220124
2021,01,Allegany,0406,Washington Middle,Middle,10.8,65,<= 5.0,*,7.7,46,599.8,20220124
2021,01,Allegany,0502,Northeast Elementary,Elementary,12.2,31,<= 5.0,*,10.2,26,254.8,20220124
2021,01,Allegany,0504,Braddock Middle,Middle,9.7,59,<= 5.0,*,6.2,38,610.7,20220124
2021,01,Allegany,0601,Center for Career & Technical Education,High,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20220124
2021,01,Allegany,0603,West Side Elementary,Elementary,20.4,61,<= 5.0,*,16.7,50,299.0,20220124
2021,01,Allegany,0606,Allegany High,High,9.5,69,<= 5.0,*,6.7,49,729.3,20220124
2021,01,Allegany,0701,Cresaptown Elementary,Elementary,9.2,24,<= 5.0,*,5.4,14,259.9,20220124
2021,01,Allegany,0702,Bel Air Elementary,Elementary,5.5,11,<= 5.0,*,<= 5.0,*,198.9,20220124
2021,01,Allegany,0801,Westernport Elementary,Elementary,9.8,22,<= 5.0,*,6.7,15,223.8,20220124
2021,01,Allegany,0802,Westmar Middle,Middle,7.6,19,<= 5.0,*,6.8,17,249.5,20220124
2021,01,Allegany,1001,George's Creek Elementary,Elementary,11.1,25,<= 5.0,*,8.9,20,225.3,20220124
2021,01,Allegany,1101,Frost Elementary,Elementary,8.1,14,<= 5.0,*,6.4,11,172.3,20220124
2021,01,Allegany,1301,Mount Savage Middle,Middle,5.8,22,<= 5.0,*,<= 5.0,*,382.5,20220124
2021,01,Allegany,1302,Mt. Savage Elementary,Elementary,10.9,19,<= 5.0,*,6.9,12,174.8,20220124
2021,01,Allegany,2404,Mountain Ridge High School,High,6.4,49,<= 5.0,*,<= 5.0,*,768.0,20220124
2021,01,Allegany,2801,Beall Elementary,Elementary,16.5,65,9.1,36,7.4,29,393.7,20220124
2021,01,Allegany,2901,Cash Valley Elementary,Elementary,20.6,48,6.9,16,13.7,32,233.3,20220124
2021,01,Allegany,2902,Parkside Elementary,Elementary,9.7,17,5.7,10,<= 5.0,*,175.2,20220124
2021,01,Allegany,A,All Allegany Schools,Elementary,12.7,441,<= 5.0,*,8.4,292,3460.5,20220124
2021,01,Allegany,A,All Allegany Schools,Middle,9.0,165,<= 5.0,*,6.2,114,1842.5,20220124
2021,01,Allegany,A,All Allegany Schools,High,7.5,180,<= 5.0,*,5.6,134,2404.8,20220124
2021,01,Allegany,A,All Allegany Schools,All,10.2,786,<= 5.0,*,7.0,540,7707.8,20220124
2021,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,5.9,52,<= 5.0,*,<= 5.0,*,876.7,20220124
2021,02,Anne Arundel,1033,Glen Burnie High,High,6.0,127,<= 5.0,*,<= 5.0,*,2119.0,20220124
2021,02,Anne Arundel,1043,Corkran Middle School,Middle,7.7,49,<= 5.0,*,<= 5.0,*,638.9,20220124
2021,02,Anne Arundel,1053,Lindale Middle,Middle,6.2,75,<= 5.0,*,<= 5.0,*,1201.4,20220124
2021,02,Anne Arundel,1063,Marley Middle,Middle,5.1,49,<= 5.0,*,<= 5.0,*,961.9,20220124
2021,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,6.5,18,<= 5.0,*,<= 5.0,*,274.9,20220124
2021,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,8.8,37,<= 5.0,*,<= 5.0,*,420.4,20220124
2021,02,Anne Arundel,1112,George T. Cromwell Elementary,Elementary,8.4,28,<= 5.0,*,5.7,19,334.8,20220124
2021,02,Anne Arundel,1122,Freetown Elementary,Elementary,6.4,29,<= 5.0,*,<= 5.0,*,452.6,20220124
2021,02,Anne Arundel,1132,Glendale Elementary,Elementary,7.3,30,<= 5.0,*,<= 5.0,*,412.0,20220124
2021,02,Anne Arundel,1142,Hilltop Elementary,Elementary,8.0,46,<= 5.0,*,5.2,30,576.1,20220124
