Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Rate,Mobility Count,Entrants Rate,Entrants Count,Withdrawals Rate,Withdrawals Count,Average Daily Member Count,Create Date
2022,30,Baltimore City,0047,Hampstead Hill Academy,Elementary,8.3,45,<= 5.0,*,6.4,35,544.2,20221114
2022,30,Baltimore City,0047,Hampstead Hill Academy,Middle,5.4,15,<= 5.0,*,<= 5.0,*,277.3,20221114
2022,30,Baltimore City,0047,Hampstead Hill Academy,All,7.3,60,<= 5.0,*,5.6,46,821.5,20221114
2022,30,Baltimore City,0050,Abbottston Elementary,Elementary,37.2,117,15.6,49,21.6,68,314.3,20221114
2022,30,Baltimore City,0051,Waverly Elementary/Middle,Elementary,25.1,77,10.4,32,14.7,45,306.6,20221114
2022,30,Baltimore City,0051,Waverly Elementary/Middle,Middle,21.2,46,6.9,15,14.3,31,217.5,20221114
2022,30,Baltimore City,0051,Waverly Elementary/Middle,All,23.5,123,9.0,47,14.5,76,524.1,20221114
2022,30,Baltimore City,0053,Margaret Brent Elementary/Middle,Elementary,24.0,36,6.0,9,18.0,27,149.9,20221114
2022,30,Baltimore City,0053,Margaret Brent Elementary/Middle,Middle,16.2,16,<= 5.0,*,13.2,13,98.5,20221114
2022,30,Baltimore City,0053,Margaret Brent Elementary/Middle,All,20.9,52,<= 5.0,*,16.1,40,248.4,20221114
2022,30,Baltimore City,0054,Barclay Elementary/Middle,Elementary,24.4,57,12.8,30,11.6,27,233.7,20221114
2022,30,Baltimore City,0054,Barclay Elementary/Middle,Middle,31.7,47,16.9,25,14.8,22,148.2,20221114
2022,30,Baltimore City,0054,Barclay Elementary/Middle,All,27.2,104,14.4,55,12.8,49,381.9,20221114
2022,30,Baltimore City,0055,Hampden Elementary/Middle,Elementary,15.3,42,5.5,15,9.8,27,274.4,20221114
2022,30,Baltimore City,0055,Hampden Elementary/Middle,Middle,29.0,40,12.3,17,16.7,23,137.8,20221114
2022,30,Baltimore City,0055,Hampden Elementary/Middle,All,19.9,82,7.8,32,12.1,50,412.2,20221114
2022,30,Baltimore City,0058,Dr. Nathan A. Pitts-Ashburton Elementary/Middle,Elementary,30.0,47,14.7,23,15.3,24,156.4,20221114
