Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Pct,Mobility Cnt,Entrants Pct,Entrants Cnt,Withdrawals Pct,Withdrawals Cnt,Avg Daily Member Cnt,Create Date
2003,01,Allegany,0301,Flintstone Elementary,Elementary,23.8,,14.0,34,9.9,24,243.6,20120327
2003,01,Allegany,0401,South Penn Elementary,Elementary,16.7,,8.7,43,7.9,39,491.7,20120327
2003,01,Allegany,0402,John Humbird Elementary,Elementary,19.8,,8.9,28,10.8,34,313.4,20120327
2003,01,Allegany,0405,Fort Hill High,High,16.2,,6.3,61,9.9,97,975.4,20120327
2003,01,Allegany,0406,Washington Middle,Middle,11.9,,5.7,47,6.2,51,820.4,20120327
2003,01,Allegany,0502,Northeast Elementary,Elementary,17.1,,9.6,27,7.5,21,280.7,20120327
2003,01,Allegany,0504,Braddock Middle,Middle,13.7,,5.2,37,8.6,61,713.1,20120327
2003,01,Allegany,0601,Center For Career & Technology Education,High,8.4,,<= 5.0,*,7.3,20,272.6,20120327
2003,01,Allegany,0603,West Side Elementary,Elementary,24.0,,12.2,41,11.9,40,336.9,20120327
2003,01,Allegany,0606,Allegany High,High,15.0,,<= 5.0,*,10.6,85,801.6,20120327
2003,01,Allegany,0701,Cresaptown Elementary,Elementary,12.2,,5.9,20,6.2,21,337.0,20120327
2003,01,Allegany,0702,Bel Air Elementary,Elementary,11.5,,5.7,13,5.7,13,226.4,20120327
2003,01,Allegany,0801,Westernport Elementary,Elementary,12.6,,7.0,19,5.6,15,270.2,20120327
2003,01,Allegany,0802,Westmar Middle,Middle,10.9,,6.0,21,<= 5.0,*,348.4,20120327
2003,01,Allegany,1001,George's Creek Elementary,Elementary,10.7,,<= 5.0,*,5.6,19,337.9,20120327
2003,01,Allegany,1002,Westmar High,High,10.8,,<= 5.0,*,6.3,26,414.9,20120327
2003,01,Allegany,1101,Frost Elementary,Elementary,5.7,,<= 5.0,*,<= 5.0,*,262.8,20120327
2003,01,Allegany,1301,Mount Savage Elementary/Middle,Elementary,15.0,,8.7,22,6.3,16,253.5,20120327
2003,01,Allegany,1301,Mount Savage Elementary/Middle,Middle,10.4,,<= 5.0,*,5.7,30,529.6,20120327
2003,01,Allegany,2401,Eckhart Alternative School,Middle,>= 95.0,*,>= 95.0,*,52.4,20,38.2,20120327
2003,01,Allegany,2401,Eckhart Alternative School,High,>= 95.0,*,>= 95.0,*,82.9,67,80.8,20120327
2003,01,Allegany,2402,Beall High,High,8.3,,<= 5.0,*,<= 5.0,*,613.5,20120327
2003,01,Allegany,2801,Beall Elementary,Elementary,21.1,,10.3,28,10.7,29,270.5,20120327
2003,01,Allegany,2901,Cash Valley Elementary,Elementary,18.5,,11.0,35,7.5,24,319.2,20120327
2003,01,Allegany,2902,Parkside Elementary,Elementary,18.9,,5.9,16,13.0,35,270.0,20120327
2003,01,Allegany,7777,Allegany County Home & Hospital,Middle,*,*,*,*,*,*,*,20120327
2003,01,Allegany,7777,Allegany County Home & Hospital,High,*,*,*,*,*,*,*,20120327
2003,01,Allegany,A,All Allegany Schools,Elementary,16.5,,8.4,356,8.1,341,4231.7,20120327
2003,01,Allegany,A,All Allegany Schools,Middle,14.8,,7.5,179,7.3,176,2400.4,20120327
2003,01,Allegany,A,All Allegany Schools,High,17.6,,7.3,233,10.3,331,3199.7,20120327
2003,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,20.4,,10.4,66,10.1,64,636.3,20120327
2003,02,Anne Arundel,1033,Glen Burnie Senior,High,23.4,,9.1,186,14.3,293,2049.2,20120327
2003,02,Anne Arundel,1043,Corkran Middle School,Middle,19.3,,8.9,71,10.4,83,798.2,20120327
2003,02,Anne Arundel,1053,Lindale Middle,Middle,18.7,,10.0,109,8.7,95,1089.0,20120327
2003,02,Anne Arundel,1063,Marley Middle,Middle,20.3,,10.5,99,9.9,93,943.6,20120327
2003,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,17.6,,11.7,20,5.9,10,170.4,20120327
2003,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,16.6,,9.4,35,7.2,27,373.5,20120327
2003,02,Anne Arundel,1102,Ferndale Elementary,Elementary,8.9,,<= 5.0,*,7.4,10,135.2,20120327
2003,02,Anne Arundel,1112,George Cromwell Elementary,Elementary,19.3,,9.5,22,9.9,23,232.6,20120327
2003,02,Anne Arundel,1122,Freetown Elementary,Elementary,28.9,,12.5,42,16.4,55,335.7,20120327
2003,02,Anne Arundel,1132,Glendale Elementary,Elementary,19.0,,10.0,46,8.9,41,458.5,20120327
2003,02,Anne Arundel,1142,Hilltop Elementary,Elementary,23.0,,14.1,78,8.9,49,553.3,20120327
2003,02,Anne Arundel,1152,Linthicum Elementary,Elementary,9.8,,<= 5.0,*,<= 5.0,*,438.2,20120327
2003,02,Anne Arundel,1162,Marley Elementary,Elementary,34.1,,15.8,65,18.3,75,410.8,20120327
2003,02,Anne Arundel,1172,North Glen Elementary,Elementary,25.9,,16.3,37,9.7,22,227.5,20120327
2003,02,Anne Arundel,1182,Oakwood Elementary,Elementary,20.2,,10.1,27,10.1,27,267.6,20120327
2003,02,Anne Arundel,1192,Overlook Elementary,Elementary,8.2,,5.6,13,<= 5.0,*,231.2,20120327
2003,02,Anne Arundel,1202,Park Elementary,Elementary,33.8,,18.8,68,15.0,54,360.8,20120327
2003,02,Anne Arundel,1212,Point Pleasant Elementary,Elementary,18.3,,10.1,53,8.2,43,524.8,20120327
2003,02,Anne Arundel,1232,Quarterfield Elementary,Elementary,20.9,,10.7,43,10.2,41,402.0,20120327
2003,02,Anne Arundel,1242,Richard Henry Lee Elementary,Elementary,19.0,,9.9,46,9.1,42,463.7,20120327
2003,02,Anne Arundel,1262,Woodside Elementary,Elementary,28.7,,11.5,32,17.2,48,278.9,20120327
2003,02,Anne Arundel,1274,Marley Glen School,Elementary,>= 95.0,*,50.1,5,60.1,6,10.0,20120327
2003,02,Anne Arundel,1274,Marley Glen School,High,32.1,,17.5,12,14.6,10,68.5,20120327
2003,02,Anne Arundel,1313,Glen Burnie Evening High,High,>= 95.0,*,>= 95.0,*,>= 95.0,*,*,20120327
2003,02,Anne Arundel,1323,North County High,High,>= 95.0,*,>= 95.0,*,11.8,230,1946.9,20120327
2003,02,Anne Arundel,2013,Severna Park Sr High,High,6.6,,<= 5.0,*,<= 5.0,*,1697.3,20120327
2003,02,Anne Arundel,2023,Northeast Sr High,High,15.9,,6.4,94,9.6,142,1479.7,20120327
2003,02,Anne Arundel,2033,George Fox Middle,Middle,14.5,,7.5,62,7.0,58,826.4,20120327
2003,02,Anne Arundel,2043,Severna Park Middle,Middle,5.5,,<= 5.0,*,<= 5.0,*,1378.3,20120327
2003,02,Anne Arundel,2052,Arnold Elementary,Elementary,7.1,,<= 5.0,*,<= 5.0,*,450.3,20120327
2003,02,Anne Arundel,2062,Belvedere Elementary,Elementary,10.3,,5.7,29,<= 5.0,*,506.2,20120327
2003,02,Anne Arundel,2072,Benfield Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20120327
2003,02,Anne Arundel,2082,Bodkin Elementary,Elementary,5.8,,<= 5.0,*,<= 5.0,*,605.9,20120327
2003,02,Anne Arundel,2092,Cape St. Claire Elementary,Elementary,8.9,,<= 5.0,*,<= 5.0,*,674.3,20120327
2003,02,Anne Arundel,2102,Folger McKinsey Elementary,Elementary,7.6,,5.3,30,<= 5.0,*,569.1,20120327
2003,02,Anne Arundel,2112,Fort Smallwood Elementary,Elementary,12.8,,6.5,22,6.2,21,336.8,20120327
2003,02,Anne Arundel,2132,High Point Elementary,Elementary,15.0,,8.1,49,6.9,42,606.2,20120327
2003,02,Anne Arundel,2142,Jacobsville Elementary,Elementary,11.9,,5.8,36,6.1,38,619.5,20120327
2003,02,Anne Arundel,2152,Jones Elementary,Elementary,5.4,,<= 5.0,*,<= 5.0,*,293.9,20120327
2003,02,Anne Arundel,2162,Lake Shore Elementary,Elementary,9.5,,5.9,20,<= 5.0,*,338.1,20120327
2003,02,Anne Arundel,2172,Oak Hill Elementary,Elementary,11.4,,5.9,28,5.5,26,472.4,20120327
2003,02,Anne Arundel,2182,Pasadena Elementary,Elementary,8.7,,<= 5.0,*,5.5,22,401.0,20120327
2003,02,Anne Arundel,2192,Riviera Beach Elementary,Elementary,13.5,,6.6,22,6.9,23,333.6,20120327
2003,02,Anne Arundel,2202,Severna Park Elementary,Elementary,7.3,,<= 5.0,*,<= 5.0,*,341.3,20120327
2003,02,Anne Arundel,2212,Solley Elementary,Elementary,14.8,,7.5,42,7.3,41,559.9,20120327
2003,02,Anne Arundel,2222,Sunset Elementary,Elementary,11.1,,6.2,32,<= 5.0,*,513.4,20120327
2003,02,Anne Arundel,2233,Severna Park Evening High,High,>= 95.0,*,>= 95.0,*,>= 95.0,*,*,20120327
2003,02,Anne Arundel,2243,Magothy River Middle,Middle,10.7,,5.8,45,<= 5.0,*,777.4,20120327
2003,02,Anne Arundel,2273,Chesapeake Sr. High,High,12.6,,5.2,99,7.4,141,1902.9,20120327
2003,02,Anne Arundel,2322,Broadneck Elementary,Elementary,10.7,,5.7,33,<= 5.0,*,577.7,20120327
2003,02,Anne Arundel,2363,Broadneck Senior High,High,13.0,,5.9,128,7.0,152,2158.6,20120327
2003,02,Anne Arundel,2372,Windsor Farm Elementary,Elementary,6.7,,<= 5.0,*,<= 5.0,*,579.2,20120327
2003,02,Anne Arundel,2413,Severn River Middle,Middle,10.3,,5.1,43,5.2,44,844.0,20120327
2003,02,Anne Arundel,2423,Chesapeake Bay Middle,Middle,11.9,,5.9,105,6.1,109,1792.8,20120327
2003,02,Anne Arundel,2432,Shipley's Choice Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20120327
2003,02,Anne Arundel,3013,Arundel Sr. High,High,18.0,,8.4,163,9.6,186,1936.8,20120327
2003,02,Anne Arundel,3023,Arundel Middle,Middle,16.5,,8.4,84,8.1,81,998.2,20120327
2003,02,Anne Arundel,3033,MacArthur Middle,Middle,38.1,,17.3,180,20.7,215,1038.0,20120327
2003,02,Anne Arundel,3062,Brock Bridge Elementary,Elementary,20.8,,11.6,58,9.2,46,500.2,20120327
2003,02,Anne Arundel,3072,Crofton Elementary,Elementary,9.4,,<= 5.0,*,<= 5.0,*,734.6,20120327
2003,02,Anne Arundel,3082,Crofton Woods Elementary,Elementary,7.2,,<= 5.0,*,<= 5.0,*,573.4,20120327
2003,02,Anne Arundel,3102,Harman Elementary,Elementary,24.7,,12.2,47,12.5,48,384.4,20120327
2003,02,Anne Arundel,3112,Jessup Elementary,Elementary,21.2,,11.0,66,10.2,61,599.2,20120327
2003,02,Anne Arundel,3122,Manor View Elementary,Elementary,54.5,,28.1,160,26.4,150,569.1,20120327
2003,02,Anne Arundel,3132,Maryland City Elementary,Elementary,39.1,,18.4,55,20.7,62,298.9,20120327
2003,02,Anne Arundel,3142,Meade Heights Elementary,Elementary,37.1,,17.4,110,19.7,125,633.1,20120327
2003,02,Anne Arundel,3152,Van Bokkelen Elementary,Elementary,53.4,,30.2,118,23.3,91,391.3,20120327
2003,02,Anne Arundel,3162,Millersville Elementary,Elementary,11.2,,6.3,22,<= 5.0,*,347.4,20120327
2003,02,Anne Arundel,3172,Odenton Elementary,Elementary,22.0,,11.8,51,10.2,44,430.9,20120327
2003,02,Anne Arundel,3182,Pershing Hill Elementary,Elementary,44.8,,19.6,66,25.2,85,336.9,20120327
2003,02,Anne Arundel,3192,Ridgeway Elementary,Elementary,13.1,,7.1,44,6.0,37,620.2,20120327
2003,02,Anne Arundel,3202,Severn Elementary,Elementary,21.1,,10.2,44,10.9,47,432.2,20120327
2003,02,Anne Arundel,3212,South Shore Elementary,Elementary,14.1,,7.7,17,6.4,14,220.3,20120327
2003,02,Anne Arundel,3222,Waugh Chapel Elementary,Elementary,15.6,,6.9,24,8.6,30,347.2,20120327
2003,02,Anne Arundel,3232,West Meade Elementary,Elementary,43.5,,22.8,55,20.7,50,241.4,20120327
2003,02,Anne Arundel,3242,Piney Orchard Elementary,Elementary,15.1,,8.3,45,6.8,37,543.3,20120327
2003,02,Anne Arundel,3263,Crofton Middle,Middle,7.5,,<= 5.0,*,<= 5.0,*,977.9,20120327
2003,02,Anne Arundel,3272,Four Seasons Elementary,Elementary,15.5,,9.4,61,6.1,40,652.1,20120327
2003,02,Anne Arundel,3323,Meade Senior High,High,35.2,,15.1,262,20.2,350,1736.5,20120327
2003,02,Anne Arundel,3333,Old Mill Middle North,Middle,18.8,,8.4,81,10.4,100,963.4,20120327
2003,02,Anne Arundel,3343,Old Mill Middle South,Middle,15.5,,8.2,75,7.4,68,919.7,20120327
2003,02,Anne Arundel,3353,Old Mill Senior High,High,18.9,,7.9,183,11.0,253,2308.4,20120327
2003,02,Anne Arundel,3362,Crofton Meadows Elementary,Elementary,11.5,,6.5,34,<= 5.0,*,522.2,20120327
2003,02,Anne Arundel,3372,Glen Burnie Park Elementary,Elementary,31.2,,18.7,82,12.5,55,438.8,20120327
