Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Chronic Absentee Cnt,Chronic Absentee Denom,Chronic Absentee Pct,Create Date
2023,01,Allegany,0301,Flintstone Elementary,Elementary,92.3,17956.0,19446.0,13.0,20,16.2,25,154,52,202,25.7,20240114
2023,01,Allegany,0401,South Penn Elementary,Elementary,88.7,40664.0,45844.0,5.4,20,34.3,126,367,210,467,45.0,20240114
2023,01,Allegany,0402,John Humbird Elementary,Elementary,89.6,18500.5,20644.0,9.7,16,39.4,65,165,119,219,54.3,20240114
2023,01,Allegany,0405,Fort Hill High,High,87.2,73918.5,84783.0,16.6,111,37.6,252,670,324,724,44.8,20240114
2023,01,Allegany,0406,Washington Middle,Middle,87.9,63767.5,72578.0,12.6,73,34.4,199,579,267,623,42.9,20240114
2023,01,Allegany,0502,Northeast Elementary,Elementary,92.0,23939.5,26015.0,14.9,31,19.2,40,208,84,263,31.9,20240114
2023,01,Allegany,0504,Braddock Middle,Middle,89.3,66975.0,74991.0,14.8,88,29.2,174,596,233,638,36.5,20240114
2023,01,Allegany,0601,Center for Career & Technical Education,High,90.9,32215.0,35440.0,17.0,48,28.0,79,282,104,291,35.7,20240114
2023,01,Allegany,0603,West Side Elementary,Elementary,90.0,26270.5,29174.0,13.8,32,27.6,64,232,111,304,36.5,20240114
2023,01,Allegany,0606,Allegany High,High,88.1,74046.0,84028.0,14.3,94,29.2,192,657,288,721,39.9,20240114
2023,01,Allegany,0701,Cresaptown Elementary,Elementary,92.0,24476.5,26611.0,13.7,29,21.3,45,211,74,256,28.9,20240114
2023,01,Allegany,0702,Bel Air Elementary,Elementary,93.1,19007.0,20424.0,23.9,39,15.3,25,163,44,193,22.8,20240114
2023,01,Allegany,0801,Westernport Elementary,Elementary,90.9,23091.5,25413.0,12.5,25,23.0,46,200,96,254,37.8,20240114
2023,01,Allegany,0802,Westmar Middle,Middle,90.3,26101.5,28902.0,15.3,35,30.6,70,229,102,246,41.5,20240114
2023,01,Allegany,1001,George's Creek Elementary,Elementary,90.8,22485.5,24760.0,11.0,22,28.5,57,200,95,245,38.8,20240114
2023,01,Allegany,1101,Frost Elementary,Elementary,92.1,18601.5,20203.0,12.4,20,15.5,25,161,51,200,25.5,20240114
2023,01,Allegany,1301,Mount Savage Middle,Middle,91.1,48236.0,52970.0,14.9,63,23.2,98,423,128,438,29.2,20240114
2023,01,Allegany,1302,Mt. Savage Elementary,Elementary,91.6,18443.0,20138.0,15.4,25,18.5,30,162,54,204,26.5,20240114
2023,01,Allegany,2404,Mountain Ridge High School,High,89.2,81991.0,91887.0,12.4,91,32.7,240,734,309,767,40.3,20240114
2023,01,Allegany,2801,Beall Elementary,Elementary,91.3,37603.0,41187.0,8.9,29,22.3,73,327,128,407,31.4,20240114
2023,01,Allegany,2901,Cash Valley Elementary,Elementary,89.9,20894.5,23239.0,14.0,26,23.7,44,186,93,244,38.1,20240114
2023,01,Allegany,2902,Parkside Elementary,Elementary,92.9,18832.5,20275.0,18.4,30,16.0,26,163,49,196,25.0,20240114
2023,01,Allegany,A,All Allegany Schools,Elementary,91.0,330765.5,363373.0,12.4,359,24.3,705,2903,1211,3572,33.9,20240114
2023,01,Allegany,A,All Allegany Schools,Middle,89.4,205080.0,229441.0,14.1,258,29.9,546,1829,714,1920,37.2,20240114
2023,01,Allegany,A,All Allegany Schools,High,88.5,262170.5,296138.0,14.6,343,32.8,771,2349,1002,2467,40.6,20240114
2023,01,Allegany,A,All Allegany Schools,All,89.8,798016.0,888952.0,13.6,960,28.6,2022,7081,2927,7959,36.8,20240114
2023,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,92.2,88018.0,95429.0,21.1,166,22.7,179,788,261,829,31.5,20240114
2023,02,Anne Arundel,1033,Glen Burnie High,High,87.7,247477.0,282079.0,16.1,372,37.4,863,2305,1115,2468,45.2,20240114
